A: 	deze hebben ook weer meerdere uitsteeksel je hebben dat kommet 
A: 	en dan zitten er eigenlijk achterop zitten een soort hoofdje in een ruitvorm 
A: 	en die hebben weer twee uitsteeksel 
A: 	zo weer trap toelopen 
B: 	ja 
B: 	ja ik zien hem 
A: 	dan hebben die aan de onderkant nog een uitsteeksel en aan de zijkant 
B: 	ja ik ik zien hem 
A: 	en één naar voren toe 
B: 	ja ook weer van die blok die steeds groot worden erbovenop 
B: 	ja 
B: 	even kijken een beetje verwarren met die letter hoe ze staan en dat zijn dan voor mij M 
B: 	even kijken we hebben het nu over de het figuur met de twee plat driehoek boven aan de achterkant met die twee groot worden 
B: 	vierkant die eruit komen steken 
B: 	het haak aan de onderkant 
A: 	ja 
A: 	ja één zo en één zo 
A: 	ja 
A: 	en dan nog met een navelstreng eigenlijk eruit dat zijn nummer negen bij mij 
B: 	ja 
B: 	daar ja 
B: 	ja 
B: 	dat zijn voor mij H 
A: 	dit zijn dat poppe met ja die ruit achter op het hoofd en die twee 
A: 	traps toewijzend toelopen blok 
A: 	en aan de anderkant nog die tentakelzijkant en dan die navelstreng nog 
B: 	dit zijn weer de dubbel driehoek aan de bovenkant met link en rechts de vierkant 
B: 	D 
A: 	met die twee ja 
A: 	en dan ook nog die een extra aan de zijkant 
A: 	dat zijn nummer elf 
B: 	linksonder in het vak ja dit zijn met die twee driehoek en de groot wordende vierkant link en rechts 
A: 	dit zijn ja dat raar poppet met die navelstreng van onderen 
A: 	en van de zijkant tentakel en dat ruitvorm 
A: 	op het achterhoofd 
A: 	en dan nog 
A: 	ja 
A: 	dat zijn nummer veertien 
