A: 	nou we hebben we hebben weer de hoofdbak aan beide kant steken twee staf uit die aan de uiteinde bekleed zijn met een rond bollet 
A: 	en aan de achterkant van de hoofdvorm hebben je een vierkant plateaut met een uitsteeksel naar beneden 
A: 	ja 
A: 	ja 
A: 	en een vierkan aan de achterkant 
A: 	ja nummer vijf 
B: 	ja en die stomp die eindigen gewoon met zo'n soort van bolle 
B: 	ja okee 
B: 	dan zijn het k 
A: 	dit zijn de hoofdvorm met die uitsteeksel aan beide kant waarbij er bollet op zijn plakken 
A: 	aan de uiteinde en dan ja achterkant een vierkant 
A: 	ja 
A: 	negen 
B: 	die een met de stomp aan beide kant 
B: 	linkerkant iets klein rechterkant iets groot en dan nog iets daarachter en dan nog naar beneden 
A: 	dit zijn weer de hoofdvorm met aan beide kant iets uitstekend ronds uitstekends met dop erop 
A: 	en links achter de hoofdvorm hebben je een vierkant plateaut met een uitsteeksel 
B: 	ja 
B: 	ja 
B: 	dat zijn o 
A: 	even kijken horen 
A: 	nog één keer 
A: 	ja ja ja 
A: 	nummer vijf 
B: 	met twee stomp 
B: 	ja 
B: 	waar staan die 
B: 	ah dat zijn j 
B: 	de twee stomp 
