B: 	het zijn eigenlijk een soort van het het het zijn een soort van tafel dat door het midden van van de van de bovenkant van de van het dinge gaan 
B: 	en daar op dat tafel aan de rechterkant zitten een soort van bak komme 
B: 	en niet echt een rond kommet 
B: 	het hebben twee het hebben dus een soort van uitsteeksel aan de voorkant en het gaan door het voorwerp zelf heen 
B: 	en aan de voorkant zitten dan twee soort van tafelpo lijken het wel of twee van die staaf die naar beneden wijzen 
B: 	ja één er ja ja kloppen 
B: 	ja waar zitten hij 
B: 	l 
B: 	ik hebben dat tafel met het bak 
B: 	die 
B: 	ja ja ja één poot ervoor één poot erlangs 
A: 	ja 
A: 	ja 
A: 	en aan de linkerkant zijn er een klein haak lijken het 
A: 	ja 
A: 	dat zijn vier 
B: 	ja 
B: 	waar zitten die 
B: 	o 
B: 	okeeen ik hebben dat tafel met die een poot ervoor en de een ander poot aan de rechterkant 
A: 	ja deze zijn met dat uitsteeksel met die twee handvaat zo 
A: 	en dat dat 
A: 	ja dat komme dat je zo , lijken wel alsof je dat zo kunnen kiepen 
A: 	met een haak aan de linkerkant nog 
A: 	top 
B: 	ja e 
A: 	even voorkijken piramide op de kop 
A: 	ah ja met dat met dat haak link 
A: 	die je zo kunnen kiepen zo 
A: 	ja ja ja 
A: 	met die twee handvaet zo 
A: 	ja nummer zeven 
A: 	deze zijn met die handvaten , die uh , ja hoe noemen we die , die 
A: 	en het klein haak links en de 
A: 	ja de piramide op zijn kop 
A: 	dat zijn goed ja 
A: 	ah ja we zijn misschien weer aan een nieuw ronde bezig 
A: 	met die twee handvaet zo 
A: 	ja 
A: 	nummer twaalf 
A: 	deze zijn met die handvat die je zo mooi kunnen kiepen 
A: 	handvaa zo 
A: 	en het haak link 
