A: 	oké het zijn een koffiekopje met een aan de voorkant een staaf waardoor een rond ook heen zitten en aan de zijkant zitten ook een rond van die staaf 
A: 	ja 
A: 	ja linksachter 
A: 	ja 
A: 	ja 
A: 	dan mogen je drukken 
B: 	okee 
B: 	ja een rond met een stok er doorheen dat zitten aan de voorkant 
B: 	en dat dat ovaal plat dinge zitten aan de rechterkant 
B: 	ja 
B: 	en dan dat dat -t ja dat lepeltjeachtig zitten bovenop 
B: 	dat zijn bij mij I 
A: 	ja 
A: 	elf 
B: 	deze hebben een een lepeltje link 
B: 	en rechtsvoor zitten een bolle waar een stok doorheen zitten een staaf doorheen en dan rechts de de ovaal cirkel 
B: 	ja 
A: 	een staaf aan de voorkant met of ja eerst een neus dan een staaf daar doorheen en aan de zijkant weer een rond 
A: 	en bovenop een heel klein lepeltje 
A: 	ja 
B: 	ja dat zijn I 
A: 	ja 
A: 	zeven 
B: 	het theekopje met het lepeltje erin en de bol met een staaf erdoorheen en een plat cirkel 
B: 	gespie bal en die lepel 
B: 	waar zijn die 
B: 	daar ja dat zijn o 
A: 	met aan de voorkant een staaf met in het midden een bolle en aan de zijkant ook een een cirkel 
B: 	het lepeltje en de de bal met een stok erdoorheen en een plat cirkel rechts 
A: 	ja 
A: 	een 
