A: 	ja elf 
A: 	deze hebben een plat vierkant aan de voorkant en met daarbovenop dat paddestoel 
B: 	eens even kijken horen deze hebben aan de linkerkant twee van die die vier kubus eraan zitten die zitten achter elkaar er zitten een vierkant voor en een soort 
B: 	ja Spijker Antenne inderdaad 
A: 	ja dat zijn acht 
A: 	dit zijn een plat vierkant aan de voorkant met het paddestoel 
B: 	dat zijn b 
B: 	deze hebben twee de twee vier kubus achter elkaar als handvat met het vierkant ervoor 
A: 	ja vier 
B: 	met het vlak ervoor 
B: 	yes dat zijn I 
A: 	dit zijn de het paddestoel 
B: 	deze hebben de twee maal vier kubus aan de linkerkant en het en de antenne aan de bovenkant 
B: 	yes dat zijn d 
