B: 	ja ik hebben de één 
B: 	bovenop zitten zo'n ovaal figuur 
B: 	en link zitten een ook een staafje 
A: 	zo'n klein dinge dat aan de bovenkant steeds breder worden 
B: 	en daarachter zitten één zitten een rond maar die zien je niet helemaal volledig 
A: 	ja 
A: 	iets bred hij zijn hij zijn rond aan de bovenkant ook 
B: 	en hij hebben een klein , hij hebben nog iets aan de onderkant , hebben hij ook nog iets , maar geen vlak vierkant , maar een uh , ja , hij staan erop 
A: 	ja 
A: 	ik weten het 
A: 	twee 
B: 	ja het zijn het zijn niet zo groot , het zijn um , ja , ik willen het haast gaan uitbeelden , maar 
B: 	ja dat mogen 
B: 	ja hij staan dus op ja 
B: 	en link zijn hij een beetje rond en rechts lijken hij recht te zijn 
B: 	maar het belangrijk zijn dat hij aan de bovenkant een beetje aan de rechterkant zo'n zo'n ja een lel zegmaar , zo'n ovaal dinget hebben 
B: 	en aan de linkerkant zitten een soort van vogelhuis 
B: 	stok 
B: 	en daarachter zitten een rond , dat hebben geeneen volgens mij 
B: 	maar die zien je niet helemaal volledig 
B: 	zitten aan de achterkant van het figuur 
B: 	nee niet erbovenop 
B: 	erachter 
B: 	dus ja zo 
B: 	dat zien je 
B: 	ja ja 
B: 	ja zo zullen je het kunnen zeggen ja ja 
B: 	ja ja 
B: 	ja veel ovaal zijn het wel 
B: 	ja 
B: 	ja en die cirkel zitten er nog weer achter 
B: 	beetje link 
B: 	link van die ja 
B: 	nee nee nee 
B: 	ja 
B: 	oké 
B: 	oké 
B: 	dan een knopje 
B: 	ja nou ja dit zijn dezelfde dus 
B: 	die ik net zeggen dus dan ja 
B: 	ja 
B: 	ja 
B: 	ja klpen ja ja 
B: 	ja 
A: 	ik hebben die een met dat rond aan de achterkant en dat raar ding rechtsboven 
A: 	aan de linkerkant een uitsteeksel aan de onderkant die balk 
A: 	die ronde 
A: 	met dat gek ding rechtsboven 
A: 	achten 
A: 	ik hebben die een met het gek friemel rechtsbof en de cirkel erachter 
A: 	cirkel die je maar half zien 
B: 	ja 
B: 	ja ja ja dat zijn ja 
B: 	ja staafje inderdaad ja 
B: 	ovaal ja 
B: 	D 
A: 	negen 
A: 	ik hebben de cirkel aan de achterkant die je maar voor de helft zien 
B: 	dit zijn de één die we hebben dus dat je hem op tafel kunnen zetten en 
B: 	een ovaal bovenop 
B: 	cirkel aan de achterkant 
B: 	ja 
B: 	ja ja cirkel achter en ovaal rechts ja 
B: 	O 
B: 	dit zijn weer die één met die theekan die je op tafel kunnen zetten 
B: 	ja 
B: 	ja H 
