B: 	ja soort van spijker of zo maar dan 
B: 	ok dat zijn L 
A: 	ja dit vinden ik ook een beetje een raar ding het zijn een soort van weer zo'n soort beker die dan een soort van ja dienblaad hebben aan de rechterkant 
A: 	links een cilinder die gedeeltelijk zijn opengemaakt en een soort schoorsteenachtig ding wat daar weer uitspringen 
A: 	en dat schoorsteending zijn boven bred dan het beneden zijn 
A: 	ja ja dat zijn een makkelijkere inderdaad dat zijn echt inderdaad hoe het eruitziet 
B: 	ja dit zijn zo'n soort van kop met een dienblad en links en met zo'n spijker 
A: 	ja de die ik de schoorsteen hebben noemen 
A: 	ja 
A: 	ja precies 
A: 	ja dan zijn dat zeven 
B: 	ja even kijken waar hij staan 
B: 	dat zijn C 
A: 	dit zijn degeen met de omgekeerd pion zeggen maar en een soort van ja rechts en links cilinder die uitsteken 
B: 	ja dit zijn met dat dienblad en die spijker 
B: 	ja met die spijker 
B: 	ok dat zijn A 
A: 	ja even kijken 
A: 	ja met dan weer zo'n cilinder met een hap eruit zeggen maar 
A: 	dat zijn één 
B: 	ja dit zijn met dat dienblad en die schroef Spijker 
A: 	dit zijn weer die pion omgekeerd met de twee cilinder waarbij de een heel cilinder daar zijn een hap uit zeggen maar 
A: 	yes even kijken waar je zijn 
A: 	ja dat zijn dertien 
