B: 	het zijn die een die een soort van schoorsteen aan de zijkant hebben en hij hebben twee 
B: 	link 
B: 	gaan ik even over 
B: 	hij zijn bijna horizontaal en dan gaan die recht omhoog 
B: 	maar dat zijn niet het belangrijk hij hebben twee punt bovenop 
B: 	dan hebben die een soort van slurf naar beneden 
B: 	en er zitten een vlak doorheen 
B: 	ja wel wel 
A: 	ja een soort van tutuu en hij hebben een soort van slurf 
A: 	en aan de zijkant hebben die zo'n arm met zo'n hoek er omhoog ja 
A: 	ja zijn nummer nummer zes bij mij 
B: 	ja ik moeten even met dat vlak erin 
B: 	ja C 
B: 	ja het lijken weer op zo'n bikinibroekhuis met zo'n slurf aan de voorkant en het vlak erin 
B: 	ze lijken allemaal op bikinibroekhuis 
B: 	ja 
A: 	dit zijn die een met die Tuturok zeggen maar met die slurf 
A: 	met die met die vierkant ding waar aan de links kant zo'n soort van arm uit komen en dan die twee staaf die aan de bovenkant zitten 
B: 	ik weten welk je bedoelen maar waar zijn die 
B: 	ja ik hebben hem vinden 
A: 	waar zijn die ? waar zijn die ? waar zijn die 
B: 	het zijn J 
A: 	ja met die twee staaf erbovenuit en die slurf 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn die een met die tutu en die slurf en die twee punt die eruit komen 
B: 	het zijn die met dat vlak erdoorheen 
B: 	of 
A: 	ja nummer negen 
B: 	ja N 
A: 	de tutu 
A: 	met de slurf en de twee punt die eruit komen 
