B: 	ja deze hebben eigenlijk een ja hoe noemen je zo'n ding ook alweer 
B: 	zeggen maar een zeggen maar twee soort van prisma aan de zijkant en een ik weten even niet veel hoe je een lang vierkant noemen 
B: 	ja een balk aan de bovenkant eigenlijk in principe 
B: 	ja 
B: 	ja 
B: 	zo'n soort cilindertje bovenop 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer achten bij mij 
B: 	die prisma weer aan de zijkant 
B: 	oké dan zijn het bij mij E 
A: 	ik hebben nu die een met de platgelegde rechthoek bovenop en link die soort van lampenkap 
A: 	en rechts ook wat je net niet zien en vooraan nog dat driehoekig uitsteeksel met een klein staafje erbovenop 
B: 	dit zijn die met dat balkje bovenop en die prisma aan de zijkant 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij E 
A: 	ja 
A: 	ja 
A: 	oké dat zijn nummer één 
B: 	die met die balk bovenop en die prisma 
B: 	balk 
A: 	dit zijn die een met die lampenkapp aan de zijkant 
A: 	en die rechthoek plat bovenop 
B: 	als ik hem kunnen vinden 
B: 	dat zijn O 
A: 	ja 
A: 	dat zijn nummer zestien 
A: 	dit zijn die lampenkapp 
A: 	aan de zijkant 
