A: 	deze hebben twee uitsteeksel één rechts één link met van die boll op het einde 
A: 	rechts zijn die wat lang en aan de achterkant staan nog een vierkant of zo 
B: 	die ja 
B: 	ja dat zijn K 
A: 	ja 
A: 	metselding 
A: 	ja 
A: 	ja oké dus het zijn die met met van die uitsteeksel met die rond bol op het einde 
A: 	ja oké 
A: 	dan zijn het negen 
A: 	dit zijn die met die twee uitsteeksel met die boll aan het einde die aan allebei de kant ja die niet even lang zijn zeggen maar 
A: 	met dat metselding 
A: 	ja 
B: 	ja hier zijn het eigenlijk weer die rugtas niet die dat klein rugtas maar die groot met die uitsteeksel 
B: 	ja ja 
A: 	ja 
A: 	oké dat zijn drie 
B: 	groot rugtas dat zijn F 
A: 	dit zijn die met die twee ongelijk uitsteeksel met die bol op het einde 
A: 	ja 
A: 	even zoeken 
A: 	wow 
A: 	ja ja vijf 
B: 	de groot rugtas 
B: 	de groot tas 
B: 	nee ik hebben alleen de klein zien 
B: 	waar ? ah daar 
B: 	L 
B: 	dit zijn de groot boekentas 
