B: 	ja 
B: 	en dat ja er zitten inderdaad zo'n steek aan 
B: 	ja ja dat zijn L bij mij 
B: 	ja die zijn ook een beetje vaag 
B: 	oké ik hebben weer inderdaad dat plat schijf aan die kant en dan een soort van hartje wat eruit steken 
A: 	dit zijn die ik net zeggen 
B: 	met die toeter 
A: 	met zo'n twee koker naar de linkerkant en dan zo'n toeter erop 
B: 	oké 
A: 	ja 
A: 	en dan nog zo'n tafel aan de rechterkant 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	ja ja dat zijn C bij mij 
A: 	die een met de beamer 
A: 	en het tafel 
B: 	weer dat hartje dat uitsteken en die toeter 
A: 	ja dat zijn nummer één 
B: 	dat zijn a bij mij 
A: 	de een met de beamer 
B: 	top 
B: 	weer dat hartje dat uitsteken met de toeter 
A: 	dat zijn dertien 
