B: 	een omgekeerd bloem ja ik weten welk je bedoelen dat zijn bij mij I 
B: 	deze hebben twee van die streepjes naar rechts en een soort afgekapte driehoek erbovenop 
A: 	dit zijn één ja ik willen ik willen deze het feesthoed noemen maar dan met een met een afstolping laten maar zeggen 
A: 	dus het zijn niet helemaal feest 
A: 	ja met een gek neusje erop wat naar één kant wijzen 
A: 	ja en hij hebben laten maar zeggen aan aan één arm hebben die twee plaat zitten 
A: 	ja 
A: 	wat ? een rond 
A: 	ja 
A: 	nee het zijn een 
A: 	dat zullen je zo 
A: 	twee stok ja 
A: 	dat zullen ook kunnen 
A: 	ja maar ik vinden hem ja in ieder geval dat zijn hem denken ik met zo'n met zo'n neusje wat naar één kant wijzen een beetje raar neusje hebben die 
A: 	en een soort van raar staart wat die dan nog ver hebben 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	als je de hoed meetelen dan zijn het er vijf 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik denken dat ja 
B: 	met dat hoed bovenop soort van 
B: 	dat zijn bij mij M 
B: 	dit zijn weer met die twee streepjes naar rechts 
A: 	ja 
A: 	ja 
A: 	ja dat zijn dan numero twee 
B: 	dat zijn bij mij F 
A: 	dit zijn die Pinokkio met die twee uitstelling en een half hoed 
A: 	dat half hoed 
A: 	het half hoed en die neus aan de zijkant 
A: 	ja en van die twee twee plank 
A: 	en en die twee plank 
A: 	hoe noemen we die ook alweer eens 
A: 	de Twittervogel ja 
A: 	ja met die parallel plank ja 
B: 	die met die streepjes naar rechts 
A: 	het Twittervogeltje 
A: 	ja dat zijn numero negen 
A: 	jou Twittervogeltje 
A: 	jou jou Twittervogeltje 
A: 	dat zijn numero zes 
