A: 	oké 
B: 	ja ik hebben er hier zo één staan hebben een soort houder onderin 
A: 	jij hebben het plaat 
A: 	ja 
B: 	tenminste hij staan op een soort cilinder of zo aan de zijkant een uitsteeksel je zien een half half cirkel net 
B: 	boven de bovenkant uitkomen en daarnaast zitten een soort ovaal slash ei aan de bovenkant 
B: 	sorry 
A: 	oké zijn het die een met dat soort rond aan de achterkant 
B: 	ja een soort inderdaad koker en een staaf steken horizontaal uit 
A: 	en dan aan die kant 
B: 	maar hij staan ook op een soort houder of zo dat de rest niet hebben 
A: 	oké dan 
A: 	zo'n zo'n lepel en dan aan de linkerkant zo'n staaf 
A: 	oké dan zijn het nummer dertien 
B: 	ja één één 
A: 	drukken op het geel knopje als het goed zijn 
B: 	nou hij zijn niet per se het zijn het zijn wel het zijn even breed als de mok maar niet aan al kant 
B: 	ja de bovenkant zien je zo'n half cirkel en en en zo'n ei vorm en aan de horizontaal steken er nog een soort cilinder of zo uit 
B: 	ok 
B: 	wachten even 
B: 	half cirkel en pluim bovenop zijn hem even aan het zoeken hoor even kijken wat zeggen je nou 
B: 	o 
B: 	met die dinget die zo aan de zijkant eruit komen 
B: 	ik zitten hem eens 
B: 	pluimp bovenop o ja en die die houder zeggen maar die soort houder ja dat zijn dan O 
A: 	ik hebben er nu één met zo'n rond erachter 
A: 	en zo'n staaf aan de linkerkant en zo'n soort roerstaafje of hoe je het ook willen noemen aan de rechterkant 
A: 	ja zo'n soort plateauachtig iets 
B: 	ok ja dit zijn weer die die allereer die met die houder dat zeggen maar niet een plateau zijn maar waar dat hij wel nog ergens op staat 
B: 	en dan Bovenin hebben je hebben je de die die dat ovaal of dat ei met dat half rond dat er boven komen en dan nog dat ding dat uitsteken zo 
A: 	oké 
A: 	ja nieuw 
A: 	zo'n bolle ervoor 
A: 	even kijken 
A: 	ja 
A: 	en dan aan de linkerkant nog zo'n staaf 
A: 	zo'n verhogink 
A: 	dat zijn bij mij nummer achten 
B: 	ja en dan dat lijken een soort dinge dat er in zitten en dat half cirkelt 
B: 	ja dat zijn dan C 
B: 	ja dit zijn weer diegene die op een plateau staan maar niet dat smal plateau hij hebben zeggen maar een soort houder of zo er onder nog een soort ja ovaal bovenin die half cirkel die uitsteekken en dan nog zo'n cilinder aan de zijkant 
B: 	ja 
B: 	ja 
A: 	ik hebben nu die een met dat die soort rond schijf erachter 
A: 	een soort ja hij staan net iets op die half verhoging zeggen maar 
A: 	en zo'n staaf aan de rechterkant en zo'n ding aan de bovenkant 
B: 	dat smal ding met dat half cirkeltje er bovenop 
B: 	ja door die neus ja dat zijn dan C 
A: 	ja die net iets hoog vaststaan ook toch 
A: 	nummer zeven zijn dat bij mij 
B: 	nou dat zijn hem opmerken je merken toch wel ja in een keer gewoon ook gewoon van die term van elkaar gaan overnemen en zo 
A: 	ik hebben die een die op een heel raar verhoging staan dat rond erachter en 
A: 	oké 
A: 	het volgen deel 
A: 	ik denken dat we klaar zijn 
