A: 	bovenop het kop hebben je een soort driehoek of eigenlijk zijn het een vierkan maar je zien niet helemaal veel het punt ervan en daar doorheen zitten er iets doorheen steken 
A: 	een soort staafje met vierkant 
A: 	en onder het kop zijn eigenlijk hij hebben een soort van één poo 
A: 	ja 
A: 	oké 
B: 	wachten wachten even 
B: 	even kijken deze 
B: 	gaan die door elkaar heen 
B: 	gaan die door elkaar zijn het een een rechthoek wat in het midden staan waarbij dus dat die twee object met elkaar verbinden 
B: 	en aan de onderkant hebben je zo'n staaf die eraf lopen 
B: 	en aan de zijkant hebben je nog een één kegel en nog een ander blokachtig ding 
B: 	okee ja 
B: 	dat zijn b 
A: 	ja 
A: 	ja en dan hebben hij zo'n plat vierkant aan de voorkant 
A: 	of zijn dat weer een ander 
A: 	oké 
A: 	je zeggen met die blok die steeds klein worden 
A: 	en wat hebben je nog veel 
A: 	ja en daar onder hebben je een soort poo 
A: 	oké nummer vijf 
B: 	deze wel zijn ja die hebben een een blok aan de onderkant 
B: 	een één wat ja wat aflopen blok aan de onderkant 
B: 	en aan de bovenkant een een rechthoek met die die erdoorheen gaan laten maar zeggen 
B: 	dus je hebben een één een een blok en daar hebben je dus dat dat rechthoek wat of dat vierkant wat schuin staan 
B: 	en dan aan de achterkant lopen hij 
B: 	die zijn best wel shit om uit te aanleggen 
B: 	terwijl we hebben de rest 
B: 	aan de voorkant steken dan ook best zo'n kegel uit 
B: 	zijn dan een kegeltje en 
B: 	zien zien je dan wat ik bedoelen 
B: 	weten je in ieder geval let op de bovenkant want de bovenkant zijn allemaal anders 
B: 	dus als je op die bovenkant let met die met die met dat 
B: 	een schuin vierkant waarbij dus een één één één één een soort van kubus doorheen steken 
B: 	waarbij je dus aan de een kant een een stuk hebben en aan de ander kant steken het eruit 
B: 	en aan de onderkant hebben je één 
B: 	een 
B: 	ja ja ja 
B: 	hoe hoe leggen we die dadelijk makkelijk uit 
B: 	want dan dan 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
B: 	ja 
B: 	precies 
A: 	oké hier hebben dat kop hebben een poo aan de onderkant 
A: 	als enig dat zijn zo'n krulletje beetje zo'n 
A: 	en daar boven hebben hij zo'n vierkant wat half van die blok , vierkant blok , dat door een soort driehoek of een vierkant lopen 
A: 	ja die ruit 
A: 	even kijken 
A: 	de ruit , ja 
A: 	nummer negen 
B: 	okee ja ja okee ja ja ja ja 
B: 	en aan de zijkant hebben je ook nog zo'n zo'n ding lopen 
B: 	ja ja dat zijn m 
A: 	oké die hebben dat poo aan de onderkant 
A: 	daar boven hebben hij dan zo'n ruit waar dat schroefje doorheen zitten 
B: 	ja ik kijken er echt finaal overheen 
B: 	ja dit zijn dat dat dat schuin vierkant met die met dat ding met die die kubus erdoorheen 
B: 	of dat aflopen vierkant 
B: 	dat driedimensionaal vierkant erdoorheen 
B: 	waarbij aan de onderkant een soort van krom komma zijn 
B: 	ja 
B: 	ja 
A: 	even kijken 
A: 	ja met een soort poo eronder 
A: 	nummer drie 
B: 	ja 
B: 	ja ja ja dat schuin vierkant 
B: 	ja 
B: 	okee dat zijn b 
B: 	dit zijn dat schuin vierkant met die dat aflopen die aflopen blok 
B: 	en aan de onderkant die komma 
