B: 	oké een soort van schroef onderaan met een driehoek op het einde als een soort voetstuk 
A: 	ja 
A: 	de wokkel 
A: 	ja ja 
A: 	dat zijn nummer vier bij mij 
B: 	oké aan de onderkant dat gedraaide oké ja dat zijn bij mij A 
A: 	deze hebben weer die wokkel aan de onderkant of die schroef 
A: 	noemen jij het geloven ik met die driehoek eronder en die twee vierkant bovenop 
B: 	dit zijn weer die schroef met driehoek eraan 
B: 	dat zijn bij mij L 
A: 	ja 
A: 	dat zijn nummer tien 
B: 	die met die schroef en die driehoek 
B: 	als voetstuk 
B: 	F 
A: 	ik hebben nu met die schroef of met die wokkel onderaan 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	dit zijn met die wokkel aan de onderkant die schroef 
