A: 	ok 
B: 	ik hebben nou dat plaat met ja zeggen maar kop dat eigenlijk ook op een tafel staan en waarbij dan die van die ribbelt aan allebei de 
A: 	ok en zitten die spiraol eigenlijk een beetje aan de zijkant ? of echt aan de bovenkant 
B: 	ja met drie met drie drie dinget zeggen maar 
B: 	drie diamant zeggen maar op elkaar een soort van 
A: 	en zijn dat zeggen maar drie of ja ok dat zijn vijf 
B: 	ja een rond ervoor ja 
A: 	deze hebben vierkant aan de onderkant zeggen maar dat hij echt het kop staan er op ja dat zijn er eigenlijk nog maar één aan de zijkant zitten ja aan allebei die 
A: 	ja 
B: 	oké 
B: 	ja en zo'n plateau ja dat zijn bij mij J 
A: 	ok zijn elf 
A: 	hebben het vierkant aan de onderkant en daar staan het kop op 
B: 	dan hebben we ik hebben nou weer die een met die ja met die drie uisteekselt zeggen maar aan allebei de kant 
B: 	ja 
B: 	ja 
A: 	zijn negen 
A: 	ja hebben we hetzelfde kop wat op het vierkant vlak staan 
B: 	ja 
B: 	en 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	met die drie diamantjes zeggen maar aan de zijkant die uitsteken met dat rond aan de voorkant op dat plateaut 
B: 	ja 
B: 	dat zijn bij mij L 
