A: 	ja 
A: 	dat zijn hier nummer zestien 
B: 	ok ik hebben deze ik zitten heel erg te twijfelen tussen of als fabriek of als vierkant dwarslaesie 
B: 	het zijn een soort schijf dwars een vierkant schijf dwars door het midden van de beker 
B: 	met met 
B: 	ja met die glijbaan ja precies ik zitten er ook over te nadenken zullen ik hem omschrijven als glijbaan en die soort twee twee klein heel klein antenne bovenop 
B: 	ja 
B: 	ok 
B: 	jij moeten dan zeggen 
A: 	dit zijn de koffiemok die twee klein staafjes aan de bovenkant hebben die even groot zijn 
A: 	er zitten ook een vierkant schot omheen 
A: 	ja 
A: 	ja 
B: 	met het platvorm in de midden ja C 
B: 	ik hebben de fabriek of de glijbaan 
A: 	ja 
A: 	dat zijn hier nummer dertien 
B: 	zitten hem even te zoeken 
B: 	ja J 
A: 	dit zijn de mok waar een plateau aan vastzitten eigenlijk aan de onderkant 
A: 	en er komen twee gelijk stok aan de bovenkant uit 
A: 	link komen een soort van tetrisblokje uit en aan de voorkant een lang rond vorm 
B: 	fabriek Glijbaan 
A: 	ja 
A: 	nummer negen 
B: 	zo wat 
B: 	ik weten het niet 
B: 	o ok nee dit 
B: 	ok zijn dat zo'n zo'n zweven stofzuiger ding 
B: 	o nee ok 
B: 	nee inderdaad maar die fabriek N 
A: 	dit zijn de mok waarbij er twee dezelfde stok aan de bovenkant uit komen 
A: 	aan de onderkant zo'n vierkant plateau zitten 
A: 	link zo'n tetrisblok uit komen en een rond aan de voorkant 
