B: 	oké wachten het haak zitten aan de onderkant 
B: 	kloppen dat 
B: 	ja 
A: 	die zijn die dat kop die dan hebben dan bovenop een piramide maar die zijn wel afgevlken 
B: 	en dan twee blok rechts en een soort van hoedje 
B: 	I 
A: 	en dan hebben die twee van die balk aan de zijkant aan de rechterkant 
A: 	en nog een neusje 
A: 	twee van die balk waar wel een gaa tussen zitten 
A: 	waar wel een 
A: 	ja 
A: 	ja 
A: 	ja een staart 
A: 	ja 
A: 	I 
A: 	ja 
B: 	dit zijn weer dat ding met een soort van hoedje aan bovenop en dan twee blok rechts 
A: 	ja 
A: 	ja dat 
A: 	ja nummer twee 
B: 	en zo'n ja buis ding link 
B: 	onderaan 
A: 	dat isteken en dat met die afgevlakte piramide 
B: 	rechterkant en twee ding links 
B: 	M 
A: 	met de 
A: 	nummer negen 
B: 	dit zijn weer met die twee blok aan de rechterkant diezelfde grootte en dan zo'n hoedje bovenop 
B: 	en twee dinget link 
A: 	het isteken en de afgevlakte piramide 
B: 	ja 
B: 	F 
A: 	ja dat zijn nummer zes 
B: 	dit zijn weer die met dat soort van hoedje en die twee blok rechts en twee dinget link 
