B: 	het zijn er zeggen maar één met een balk bovenop voor de rest zitten er niks bovenop 
B: 	zeggen maar liggen balk en links zitten nog ja een gek vorm een soort van pilonvorm half 
B: 	ja zoeits 
B: 	en rechts zitten ja ook nog een soort van staafje met een driehoek zijn het denken ik waar die op staan 
B: 	ja 
B: 	ja links en rechts zijn wel anders zeggen maar dat wel 
B: 	bovenop liggen alleen zeggen maar liggen soort van chocoladereep 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	volgens mij ja dat denken dat ik weten met die driehoek en dan daarop dat dun pinne 
A: 	ja ja 
A: 	dat zijn acht 
B: 	dat gek vormp ja soort van ja dat balkje er zo wat er op liggen eigenlijk 
B: 	ja zijn E 
B: 	die met dat liggen balkje bovenin en dan die spaceshuttle 
A: 	ja dit zijn ja ik noemen het altijd de ander vogel met die horizontaal balk boven en dan dat gek driehoekje met dat 
A: 	ja dun staafje erop en dan aan de zijkant nog die ja die uitlopen driehoeken 
A: 	die met die die horizontaal staaf boven 
A: 	ja 
A: 	ja en dan ja een neus met nog zo'n staafje erbovenop 
B: 	zoeken 
B: 	met dat blok bovenop dat liggen E 
A: 	ja ja 
A: 	dat zijn één 
B: 	met die spaceshuttle dat blok liggen bovenop 
B: 	ja met dat liggen blok O 
A: 	ja dit zijn de twee vogel met die balk bovenop 
A: 	ja 
A: 	zoeken zoeken 
A: 	ja 
A: 	dat zijn zestien 
A: 	dit zijn de twee vogel met de balk boven 
