B: 	waar zitten de propeller 
A: 	okee nu zijn ik aan de beurt het zijn weer een kop inderdaad 
B: 	ja 
A: 	daarvoor zitten een heel dun balkje daar doorheen zitten een soort van eivormig iets in het midden en daar dan helemaal aan de rechterkant zitten een plat schijf ook rond 
B: 	en de propeller wijken ook af naar rechts 
A: 	ja aan de linkerkant 
A: 	okee top 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja oké dan weten ik het 
B: 	dan zijn het M 
A: 	ja een ei ei en dat plat schijf 
A: 	elf 
B: 	een kop met een lepeltje zo zien ik het en een ei met een zuignap 
B: 	ja dat ei hebben een pilaar en daar zuignap ja 
A: 	deze hebben het ei of dat balkje met die met dat ei en dat plat ding aan de zijkant dus dat ei zijn dat balk zitten door dat ei heen aan de voorkant 
A: 	een soort lepeltje er weer uit 
A: 	dus je hebben een smal balkje daar zitten een ei doorheen 
A: 	in het midden 
A: 	ja ja die noemen jij zo ja dat gaan ik gaan ik onthouden heel goed 
A: 	wc-rolhouder zijn mijn theepot dus even zoeken waar die zitten 
A: 	ja ja ja ja die nummer twee sorry ja nummer twee 
A: 	dit zijn jou wcrolhouder 
A: 	dus met dat ei en dat balk erdoorheen 
B: 	oké makkelijk dat zijn dan K 
A: 	met dat eit 
A: 	ja dat zijn nummer vijf 
B: 	koffiekopje met een zuignap en een ei 
B: 	waar die aan vastgemaakken zijn 
B: 	ja 
B: 	ei 
B: 	I 
B: 	een kop met een lepeltje erin en een zuignap die door de ei gespiest zijn 
