A: 	ja 
A: 	ja 
A: 	ah ja 
A: 	het staan zeggen maar op een standaard die op zo'n driehoekje staan 
A: 	ja dan zijn het zeven 
B: 	ah 
B: 	nou ja van al ander kop zeggen maar er zijn er niet zo veel die staan op een soort van plateautje 
B: 	en deze die staan op een soort van driehoekplateau met een twist omhoog 
B: 	een soort wokkel inderdaad 
B: 	een blok ja een blok 
B: 	zitten er rechts één en er zitten er één in denken ik 
B: 	en nog een ander uitsteeksel 
B: 	ik denken dat je hem wel weten 
A: 	deze dat zijn die op dat standaard zeggen maar dat beeld die staan op die driehoek met die stang eraan daar staan hij op 
A: 	en dan zitten rechts zitten dat dat blok wat er zeggen maar bijna af vallen 
A: 	en dan binnen 
A: 	ja 
B: 	ja 
B: 	een wokkel omhoog ja 
B: 	ik ja ik gaan voor d 
A: 	maar die op dat standaard staan 
A: 	ja dat zijn drie 
A: 	dit zijn weer geen die een die op het standaard staan waarbij dat blok er bijna af vallen 
B: 	nou dit zijn diegene die op een twisterpoo staan 
B: 	een driehoekig 
B: 	ja 
A: 	ja veertien 
A: 	dit zijn die een op dat standaard waar dat blok bijna af vallen 
B: 	yes 
B: 	dat zijn o 
B: 	het zijn grappig hoe dit werken vinden ik wel 
B: 	twisterkop met driehoek beneden 
B: 	ja 
B: 	dat zijn k 
