B: 	ja 
B: 	ja dan zijn het L 
A: 	deze hebben een uitsteeksel links en dat zijn een eigenlijk een omdraaien pion en die die steken naar linksbof 
A: 	die zitten niet aan de aan het komme zelf vast die zitten aan het uitsteeksel vast 
A: 	en dat zijn gewoon een omdraaien pion 
A: 	hij hebben rechts ook nog een een uitsteeksel dat zijn een één rond plateaut 
A: 	in het midden 
A: 	en linksbof steken er iets uit en dat zijn een eigenlijk een omdraaien pion 
A: 	ja ja 
A: 	een ronde 
A: 	ja 
B: 	deze hebben wat jij op een spijker vinden lijken met op dat gek vormig uit en dat plateau aan de zijkant 
A: 	die pion linksboven 
A: 	ja 
A: 	zijn nummer zeven 
B: 	oké 
B: 	dat zijn C 
A: 	dit zijn met de pion linksboven die uitsteken 
A: 	ja 
A: 	ja 
B: 	ik hebben diegene met die spijker en dat gek vormp waar die op staat en een plateau 
A: 	even kijken 
A: 	ja 
A: 	dat zijn nummer één 
B: 	oké 
B: 	ja 
B: 	dat zijn A 
A: 	dit zijn die pion die aan de linkerkant helemaal eruit steken 
A: 	naar linksbof toe 
B: 	ik hebben diegene met die spijker en dat gek vormpje en het plateau 
A: 	ja nummer dertien 
