B: 	ja zo'n afgevlakte piramide en een klein staart nog 
B: 	ja dat zijn I mij 
A: 	oké deze hebben aan de zijkant twee rechthoekig uitstulping die iets van mekaar af staan 
A: 	aan de bovenkant inderdaad een soort van lampenkap 
A: 	erop en aan de linkerkant zitten onderaan een een uitsteeksel en in het midden ongeveer ook nog een een klein uitsteeksel 
A: 	oké 
A: 	yes 
A: 	dan moeten je nog even op het knop drukken 
B: 	ja dat kop met dat afgevlakte piramide op kop 
B: 	met dat isteken aan de zijkant 
B: 	yes 
B: 	M 
B: 	met de afgevlakte piramide 
B: 	en dat isteken 
A: 	cilinder of rechthoeak 
A: 	ja oké en aan de linkerkant steken ook nog twee ding uit 
A: 	ja oké dat zijn twee voor mij 
B: 	ja dat zijn F 
A: 	oké deze hebben de omgekeerd lampenkap erbovenop en de de rechthoe aan de twee rechthoe aan de rechterkant 
A: 	en die twee ander ding links 
A: 	ja 
B: 	ik hebben met dat afgevlakte piramide en dat isteken 
A: 	even kijken 
A: 	de even kijken horen 
A: 	ja en dan links ook die ding 
A: 	ja oké dat zijn negen 
A: 	ik moeten hem even zoeken waar die staan 
A: 	oké omgekeerd lampenkap erop 
A: 	met de met de twee rechthoe rechts en de twee dinget 
A: 	even kijken 
A: 	ja 
A: 	dat zijn dat zijn zes 
