A: 	er zitten een groot lepel in het midden 
A: 	en rechts zitten soort van vierkan 
A: 	een rechthoek zegmaar en link zitten een rond staaf 
A: 	en er zitten aan de achterkant ook nog iets 
A: 	even kijken 
A: 	ja Bovenin zegmaar 
A: 	en dan zitten er dus rechts een langwerpig vierkant staaf zegmaar die een beetje van dik van dun naar dik gaan 
A: 	ja 
A: 	ja 
B: 	ja ja 
B: 	zo'n soort van sterrenkijker of zoiets 
B: 	ja ? lijken dat op een 
B: 	ja 
B: 	okee ja dan hebben ik hem 
B: 	dat zijn bij mij o 
A: 	ja 
A: 	en dan ja zo'n vierkant ding weer aan de zijkant en een staart aan de achterkant 
A: 	ja 
A: 	vijfteen 
B: 	deze hebben een cactus bovenop en link 
B: 	en rechts een sterrenkijker 
B: 	en nog een haak linksachter 
B: 	ja 
A: 	voor of een groot lepel bovenin 
A: 	rechts zo'n pixelachtig dinge 
A: 	links een rond dinge en aan de achterkant nog een staart 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn l 
A: 	ja 
A: 	ja drie 
B: 	een cactus bovenop en links en rechts een sterrenkijker 
B: 	ja 
B: 	en de sterrenkijker 
B: 	ja dat zijn j 
A: 	aan de bovenkant en aan de linker zijkant hetzelfde figuur 
B: 	dit zijn bovenop en links de cactus en rechts een sterrenkijker 
A: 	ja 
A: 	en vierkant voorop 
A: 	twaalf 
