B: 	ja 
B: 	ja 
B: 	ja het lijken een beetje op een tent daarboven 
B: 	oké 
B: 	ja 
B: 	het zijn een het zijn J 
A: 	oké deze hebben heel duidelijk een één de enig een piramide bovenop 
B: 	dit zijn diegene met die driehoek aan de bovenkant en die pijl die er zo in gaan 
A: 	de enig met een heel piramide 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	ja dat zijn E 
A: 	deze zijn met de piramide bovenop 
A: 	de heel piramide 
B: 	oké ik hebben die met de driehoek erop 
B: 	en zo één klein dinge erin 
A: 	ja nummer tien 
B: 	ja 
B: 	dat zijn G 
A: 	deze zijn met de piramide erbovenop 
B: 	oké ik hebben diegene met die piramide die driehoek aan de bovenkant en zo de pijl daarin aan de zijkant 
A: 	piramide bovenop 
A: 	ja nummer tien 
