B: 	deze hebben een soort van twee uitlaat vierkant uitlat aan de linkerkant 
B: 	dan voorop een soort vierkant 
B: 	en bovenop een stok met daarop een rond 
A: 	ja zo'n heel groot 
A: 	okeeen ik zien het 
A: 	lijken ook op uitpuilen oog 
A: 	dat zijn nummer veertien 
B: 	ja n 
B: 	deze hebben soort van twee uitlaat aan de linkerkant met blok die steeds klein worden 
B: 	en voorop een vierkant 
A: 	deze hebben van die uitpuilen oog naar die kant 
A: 	echt pixeliseren ook 
A: 	met zo'n spijker door zijn hoofd heen en een plat vierkant aan deze kant 
A: 	en die 
A: 	dat zijn negen 
B: 	ja c 
A: 	dit zijn die met die uitpuilen oog en een spijker en een vierkant 
B: 	deze hebben die twee uitlaat met de blok aan de linkerkant en voorop een vierkant 
B: 	l 
A: 	ja 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn die met uitpuilen oog en een spijker 
A: 	en een vierkant 
