A: 	deze vinden ik wel raar er zitten een soort piramide bovenop 
A: 	de ander nee dat dat zijn 
A: 	dat zijn wel de enig 
A: 	ja nog zo'n piramide alleen zijn de bovenkant van af gesneden die zitten er toch ja ja ja je hebben wel de goed in ieder geval en de aan de linkerkant zitten ook iets wat op kogel lijken 
A: 	ja ja ja 
A: 	ja 
B: 	met dat punt zeggen maar ja 
B: 	ja 
B: 	ja we hebben er ook nog niet zoveel niet hebben dus dat moeten wel J zijn want ver hebben die allemaal van die raar uitsteeksel 
B: 	ja 
B: 	ja 
B: 	ja soort van ja 
B: 	ja dan zijn het J 
A: 	o ik zullen even zoeken hoor 
A: 	o ik zien hem al ja 
A: 	ja ja met de piramide op zijn hoofd 
A: 	ok zes 
B: 	oké dit zijn die met dat met dat puntmuts zeggen maar 
B: 	met dat blok aan de zijkant en dat dat puntdak 
B: 	het piramidedinge 
B: 	ja 
A: 	o die met die piramide op zijn hoofd weten je wel en met dat geblokken neus met die kogel 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	ja ik zien hem al 
A: 	ja 
A: 	tien 
B: 	nu hebben ik met dat piramidehoofd 
B: 	ja op wielt 
B: 	tja 
B: 	want dat staan er wel 
B: 	ja 
A: 	die met die piramide op zijn hoofd en die kogel 
A: 	bij mij zitten hij helemaal linksbof 
A: 	ok tien 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	ik hebben die met dat piramidehoed 
