B: 	deze hebben een tafel met een bak er op aan de voorkant 
A: 	ja 
A: 	maar dan op zijn kop 
A: 	ja 
A: 	ja 
A: 	dat zijn zestien 
B: 	even kijken waar die staan P 
A: 	ja dit zijn dat kop met dat ja tafel met die twee poo 
A: 	en die omgekeerd piramide erop 
A: 	en achterin nog dat haak 
B: 	tafel met bak erop 
B: 	o met dat tafel 
B: 	jaja N 
B: 	tafel met bakje er op 
A: 	even zoeken 
A: 	ik kunnen hem niet vinden 
A: 	ja ja 
A: 	ja dat zijn veertien 
B: 	D 
A: 	ja dit zijn die met die met dat tafel 
A: 	die twee poo en de omgekeerd piramide erop 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn die met dat tafel met de poo en de omgekeerd piramide 
