A: 	oké ik hebben nu nu 
A: 	het rood vierkant ik zien er zelf een gezicht in met een neus die een neuspiercing hebben dus eigenlijk een schroef door de neus heen 
A: 	hebben ook nog één ja een pluk achter op het hoofd 
A: 	ja nummer inderdaad 
B: 	hebben die aan de bovenkant een soort van appelsteel 
B: 	oké dan weten ik welk het zijn dan moeten dat F zijn voor mij 
B: 	dus even kijken dan zijn dat de geel knop 
B: 	even kijken dit zijn het het bak waar het appelsteel aan de linkerkant boven uit steken 
B: 	met aan de voorkant het bolle met het staafje erdoorheen 
B: 	ja 
A: 	even zoeken 
A: 	ja en dat dinge achter op het hoofd 
A: 	nummer vijf 
B: 	nee 
B: 	ja 
B: 	dat zijn voor mij A 
B: 	dit zijn die weer met het appelsteel aan de bovenkant en het neusje wat doorboord worden 
A: 	dit zijn het poppe met de neuspiercing 
A: 	de neuspiercing 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	dat zijn H voor mij 
A: 	dit zijn de neuspiercing 
B: 	het appelsteel en het doorboord rond 
A: 	dat zijn nummer vijftien 
