B: 	ok hij zijn zeggen maar aan de onderkant rond en daarna zitten er een vierkant omheen en dan lopen hij zeggen maar weer ver 
B: 	en hij hebben aan de linkerkant ja beetje zoiets en aan de voorkant zitten een cilinder 
B: 	ja het zijn zeggen maar gewoon er zitten een vierkant om het object heen volgens mij zijn dat er maar één 
B: 	ja twee punt 
A: 	ja 
A: 	ik hebben dat ook precies zo'n tutu 
A: 	ja ik weten welk je bedoelen 
A: 	oké 
A: 	dat zijn dan nummer zes 
B: 	en twee punt 
B: 	ok dat zijn C 
B: 	ok ja dit zijn dat ding waar dat vierkant doorheen lopen 
B: 	ja en twee van die punt bovenop 
A: 	dit zijn die een met die vierkant tutu 
B: 	o dat vierkant dat er doorheen gaan ok 
B: 	o ja dat zijn J 
A: 	ah ja dat zijn nummer dertien 
B: 	ja dit zijn waar dat vierkant vlak doorheen lopen 
A: 	dit zijn met die tutu 
B: 	ja dat zijn N 
A: 	dat zijn nummer negen 
A: 	dit zijn met die tutu 
