A: 	deze hebben zeggen maar twee vierkant bovenop naast elkaar met een staaf erdoorheen een vierkant staaf erdoorheen 
A: 	en dan daaronder zeggen maar nog zo'n kromme rechthoek zo'n komma zeggen maar 
A: 	bovenop zitten een heel speciaal vorm met met twee twee vierkante 
A: 	ja 
A: 	ja 
A: 	ja kloppen 
B: 	alright 
B: 	ja 
B: 	ja ja 
B: 	en hij hebben ook een soort van neus toch 
B: 	soort van 
B: 	ja 
B: 	ja dan denken ik dat ik hem ook wel weten ik gaan voor k 
A: 	ja 
A: 	ja 
A: 	wachten doen nog eens 
A: 	ja 
A: 	ja 
A: 	wat zitten er op de bovenkant 
A: 	ik weten al wat je bedoelen aan de onderkant zitten zo'n scheve 
A: 	zeggen maar gewoon een vierkant wat zo staan en daar gaan gewoon zo'n staaf doorheen 
A: 	ja en dan zo'n soort van kommavorm daar aan de onderkant 
A: 	ja dat dat zijn vier 
B: 	okee dit zijn een kop waarbij je bovenop een twee van die legoblokantennet hebben 
B: 	met een een vierkan wat er in het kop staan 
B: 	een soort pinokkio-neus 
B: 	een haak naar onder uitsteken 
B: 	en aan de ander kant hebben je ook een uitstekend haak aan de rechterkant zijn dat 
B: 	ja 
B: 	met lego dinget ja 
A: 	dit zijn met die twee vierkant die rechtop staan bovenop met zo'n aflopen rechthoek een 
A: 	bovenop het ding 
A: 	en dan nog zo'n kromming daaronder 
A: 	ja die 
A: 	ja zo 
A: 	ja 
A: 	ja 
A: 	met dat vierkan waar dat ding doorheen gaan 
A: 	ja 
A: 	dat zijn dertien 
B: 	ja 
B: 	dat zijn k 
A: 	dit zijn weer die twee vierkant waar die aflopen rechthoek doorheen gaan met zo'n kromme vorm aan de onderkant 
A: 	ja 
A: 	ja 
A: 	zestien 
B: 	ja 
B: 	ruitvorm met legoblok aan de bovenkant 
B: 	pinokkio-neus 
B: 	ja 
B: 	dat zijn voor mij j 
B: 	ruitvorm met legoblok erdoorheen 
