A: 	goed 
A: 	lijken het een soort van op een kop waar een lepel in zitten zeggen maar 
B: 	het hij zijn het zijn een kop 
A: 	en dan met nog een rond bovenop 
A: 	oké 
B: 	er zitten er steken een stok zo uit en bovenop staan een kegel 
A: 	ja 
B: 	aan de zijkant staan een cirkel 
A: 	en zijn de onderkant zijn die plat 
A: 	ja oké 
A: 	dan zijn het nummer dertien 
A: 	en op de geel knop drukken 
A: 	oké 
B: 	ik geloven alleen maar de kegel 
B: 	en er hangen een cirkel half naast 
B: 	en er steken nog een stok uit 
B: 	welk 
B: 	ja 
B: 	nee in dit plaat zitten geen rechthoekig ding 
B: 	aan de onderkant zitten nog wel je hebben het beker en dan zitten daaronder nog een soort van rechthoekje 
B: 	onder 
B: 	dus kop en dan hebben je er een kegel die eruit steken een cirkeltje ertegenaan plakken 
B: 	steken nog een stok uit en dan nog een één ja één 
B: 	ja 
B: 	cirkel zitten achter het kop 
B: 	G 
B: 	oké 
A: 	dit zijn weer het kop met de lepeltje eruit en dat rond schijf aan de achterkant 
A: 	met die plat plat onderkant en die staan op een soort van ja dinge 
B: 	ja het zijn O 
B: 	ja met het kegel erop 
B: 	ja O 
B: 	ja dit zijn dan weer de het kop met de kegel en de cirkel ertegenaan plakken 
B: 	ja ja die 
A: 	lepel erin 
A: 	ja nummer achten 
B: 	ja 
A: 	dit zijn het kop met het lepeltje en het rond dat er aan de achterkant uit komen 
B: 	C 
A: 	dat zijn nummer zeven 
B: 	dus die een met met de met de met de kegel erop en de cirkel aan de zijkant 
B: 	één 
B: 	nee één maar 
B: 	cirkel erachter ja 
B: 	ja die 
A: 	dit zijn het kop met het lepeltje erin en dat en het rond dat er aan de achterkant uit komen 
A: 	mooi 
B: 	C 
B: 	nou 
B: 	nou goed doen 
B: 	Hallo 
