A: 	zo'n die 
A: 	op een driehoek ja 
A: 	dat zijn nummer vier 
B: 	deze hebben zeggen maar een driehoek er onder en er zitten zeggen maar een staafje aan en die zijn draaien 
B: 	dat zijn dan twee 
B: 	ja ok 
A: 	dit zijn degeen met de twist 
A: 	daar beneden op de driehoek 
B: 	driehoekje ja zijn A 
A: 	ja ja inderdaad zijn tien 
A: 	dit zijn met de twist op de driehoek 
B: 	die draaien driehoek onderin 
B: 	een blok vallen er bijna af bovenaan 
A: 	ja ja vier 
B: 	L 
A: 	het zijn de Twirl met een driehoekje 
B: 	met die draaien driehoek aan de onderkant blok wat er boven bijna af vallen 
B: 	F 
