A: 	een soort strip zeggen maar 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer veertien 
B: 	nou dit zijn weer zo'n kop met een soort van bolle eraan in het midden van het kop 
B: 	staan twee kegelt op die beide een ander vorm hebben 
B: 	en een uitstulpsel uitsteeksel aan de linkerkant van het kop 
B: 	oké 
A: 	dit zijn weer dat kop met aan de linkerkant zo'n driehoekig uitsteeksel 
A: 	en aan de rechterkant een bolle aan de voorkant en aan de bovenkant komen er twee ding uit 
B: 	ja 
B: 	ja 
B: 	het zijn N 
A: 	waar twee ding uit de bovenkant komen 
A: 	ja 
A: 	negen 
B: 	het zijn weer het kop met de met de bol in het midden en de twee 
B: 	de twee kegelvormig uitsteeksel waarvan de één één kegel zijn en de ander een cilinder 
B: 	en de ander een blok bedoelen ik 
B: 	ja 
A: 	dit zijn het plaa met aan de bovenkant twee uitsteeksel en aan de rechterkant een rond en aan de linkerkant dat driehoekig uitsteeksel 
A: 	ja dat die aan de bovenkant twee uitsteeksel hebben 
A: 	met een soort stri en die 
A: 	ja 
B: 	zijn G 
A: 	ja nummer vijf 
B: 	het zijn die een weer met die twee kegel erop en die bol aan de rechterkant 
B: 	en het toblerone aan de linkerkant 
A: 	en dit zijn het plaa met aan de rechterkant het bolle en aan de bovenkant die twee uitsteeksel 
A: 	en aan de linkerkant het driehoekje wat eruit komen 
B: 	J 
