B: 	dat zijn een plat vierkant 
B: 	het zijn geen kubus zegmaar 
B: 	ja ja 
B: 	ja 
B: 	ik vinden het op een frankenstein lijken 
B: 	die zo met zijn arm voor zich uit lopen 
B: 	ik zien hem 
B: 	nummer J 
B: 	ja 
B: 	letter J trouwens 
A: 	okee nou ja je hebben weer een kop met weer veel uitsteeksel 
A: 	Bovenin hebben je een ruit 
A: 	en daar zitten ook weer die legoblok doorheen geboord 
A: 	en naar de buitenkant er vanaf het ruit af zeggen maar worden die blok ook steeds groot 
A: 	hebben je aan de onderkant één of ander raar haak waar die soort van op staat 
A: 	en aan de rechterkant nog een uitsteeksel een beetje 
A: 	ja precies ja ja 
A: 	kloppen 
A: 	okee 
B: 	zijn Frankenstein 
B: 	duidelijk 
B: 	vierkant met twee pinn door zijn hoofd 
B: 	door zijn kop 
B: 	bovenop 
B: 	het kop 
B: 	dus je hebben het kop 
B: 	en dan hebben je een vierkant 
B: 	en aan weerszijde van het vierkant steken toren uit 
B: 	en het lijken alsof hij zo lopen 
B: 	in mijn fantasie 
B: 	dus hebben twee twee aan de zijkant ook twee twee arm uitsteken 
B: 	volgens mij zijn het er twee tenminste 
B: 	moeten ik het nog anders omschrijven 
B: 	oké je hebben dat kop 
B: 	dat zijn de basis 
B: 	en onderin hangen een voe 
B: 	aan de rechterkant hangen twee uitstulping 
B: 	bovenop een vierkant met twee aan beide kant 
B: 	ja 
A: 	ja en dan dat ruit bovenop dus met 
A: 	ja okee ja 
A: 	okee dat zijn nummer elf 
B: 	rechterkant zitten twee uitsteeksel 
B: 	ja 
B: 	met die armp weer zo 
B: 	zijn J 
B: 	Frankenstein kop ik zien niks ander 
B: 	twee plank naast elkaar 
B: 	op de bovenkant 
B: 	met die staaf er doorheen 
A: 	kop met de ruit aan de bovenkant waar legoblok doorheen zijn gejast aan beide kant 
A: 	ja en haak onder en rechts 
B: 	ja F 
B: 	van Frankenstein 
B: 	Frankenstein 
A: 	het zitten al in je hoofd 
A: 	ja 
A: 	vinden 
A: 	nummer achten 
A: 	deze zijn met de ruit aan de bovenkant met de legoblok erdoorheen 
A: 	haak aan rechts en onderkant en 
A: 	ja 
A: 	ja nummer twaalf 
