B: 	zeggen maar zijn het tenminste als je die een beetje op zijn zijkant draaien zullen het dan een beetje op een dier kunnen lijken 
B: 	zijn het die 
B: 	ok dan zijn dan zijn het M 
A: 	oké 
A: 	deze hebben eigenlijk een soort van Pinokkioneus 
A: 	en daarboven ja ik vinden het een beetje een soort van helikopterachtig weten je wel ? van die zwaaidingen lijken 
A: 	en dan hebben die daaronder een been voet en aan de zijkant een voet arm 
A: 	ja 
B: 	ok dit zijn zeggen maar dat dier dat als je hem zo draaien dan zijn het een dier 
B: 	ja ja maar maar met zeggen maar maar twee poo 
B: 	ja zeggen maar aan de onderkant lopen zeggen maar zo'n ding dat hebben je dat dinge en dan 
A: 	ah ja 
A: 	even even kijken waar die staan 
A: 	Ah nummer negen 
B: 	zijn dat met die schroef onderin ? of niet 
B: 	o 
B: 	ja 
B: 	die als je die draaien zeggen maar wat het die ? ok 
B: 	dan zijn het H 
B: 	ja dit zijn zeggen maar dat dier dat je zo kunnen draaien 
A: 	oké dit zijn met dat helikopterdinge 
B: 	ja dat zijn D 
B: 	ja dit zijn dat dier dat je kunnen draaien 
A: 	even kijken 
A: 	ah zijn nummer elf 
A: 	dat zijn met dat helikopterding 
A: 	even kijken ah nummer veertien 
