A: 	ja zijn die compact zeggen maar ? opsteken er niet veel uit 
A: 	nee oké ja dan weten dan weten ik 
A: 	ja 
A: 	ik ik zien dat als een soort opveger 
A: 	ja 
A: 	ja en en zo'n schuin 
A: 	zo'n ding naar beneden ja oké ja ja 
A: 	ik weten al 
A: 	achten 
B: 	oké deze vinden ik heel vinden ik de klein eigenlijk van allemaal 
B: 	want zeggen maar een kommetje en daarvoor zitten zeggen maar soort van een een hand en die inhouden een klein paal vast 
B: 	dus die zijn ja 
B: 	zo recht op zijn hoofd zo'n hanenkam zo 
B: 	en dan hebben die hier zo'n paal en dan zitten er hier nog een soort van een komme die andersom zitten een beker die andersom zitten 
A: 	ik hebben dat opveger 
A: 	of die stofzuiger achtig 
B: 	dat zijn E 
B: 	dit zijn dat compact man met dat staafje in zijn hand 
A: 	ja 
A: 	ja 
A: 	dat zijn één 
B: 	dat zijn E 
A: 	ik hebben de stofzuiger 
B: 	dit zijn dat poppe dat dat balkje vasthouden in zijn hand 
B: 	ja 
B: 	dat zijn O 
A: 	ja 
A: 	ik hebben hem zestien 
A: 	ik hebben de veger 
