B: 	en dan daarachter een soort van een slurf 
B: 	ja 
B: 	g 
A: 	okeeen deze hebben zo'n pixeliseren neus lijken het wel 
A: 	vierkant 
A: 	wat een beetje uitsteken 
A: 	en het steken uit aan de rechterkant 
A: 	en dan daarboven zitten de een druppel , soort van 
A: 	ja soort van druppelachtig iets 
A: 	en die hebben dan ook als linkerarm ook een druppel 
A: 	en dan daarachter we kunnen zeggen dat hij een staart hebben 
A: 	okee 
B: 	deze hebben twee handvaet één bovenop één aan de linkerkant 
B: 	en aan de rechterkant die vierhoek die steeds klein worden 
A: 	daarachter die een beetje uitsteken 
A: 	ja zo'n pixeliseren neus op die 
A: 	okee dat zijn nummer twee 
B: 	ja 
B: 	n 
A: 	deze hebben een kegel hier en een kegel aan deze kant 
B: 	deze hebben een handvat bovenop een handvat links en aan de rechterkant die blok die steeds klein worden 
A: 	aan deze kant hebben hij een dik vierkant pixeliseren neus 
B: 	handvat bovenop een handvat link 
A: 	en dan hebben hij daarachter nog zo'n klein krom staart zullen we maar zeggen 
B: 	en aan de rechterkant de blok die 
B: 	okee theekop ja zijn goed 
A: 	ja ik zien hem 
A: 	dat zijn nummer dertien 
B: 	h 
B: 	dit zijn de theekop 
A: 	dit zijn die een met de kegel hierboven en een kegel links en een dik neus 
A: 	ja 
A: 	nummer zestien 
