B: 	ja 
B: 	ja 
B: 	b 
A: 	deze hebben een soort van twee arm maar de rechter zijn lang 
A: 	en hebben van die knobbel in plaats van hand 
A: 	laten we het zo maar zeggen 
A: 	en die hebben zo iets zo'n ding dat zo achteruit steken 
B: 	deze hebben die die stok door die emmer heen 
B: 	aan de een kant zijn hij wat kort en hij hebben een bobbel aan het eind en dan aan de ander kant zijn hij iets lang 
B: 	achterop zijn een schuin vierkant 
B: 	met daar ook een soort van ding eraan 
B: 	zo of hij liggen achter de emmer soort van een baseballbat 
B: 	maar dan niet echt 
B: 	achter de emmer zijn een 
B: 	ja 
B: 	ja 
B: 	ja die staaf lijken een beetje op een baseballbat 
A: 	ja zo'n ding zo naar achter 
A: 	dat zijn nummer vier 
B: 	ja 
B: 	where did it go ? l 
A: 	deze hebben dus die twee arm met één de rechter lang dan de linker en met van die knobbel 
A: 	en dan 
A: 	ja dat klein 
B: 	deze hebben de baseballbat 
A: 	twee arm met 
A: 	die zo 
A: 	dat zijn nummer vier 
B: 	ja I 
B: 	De baseballbat 
A: 	deze hebben zo één lang arm één kort arm en van die knobbel laten we het zo maar zeggen met de klein ding er zo achter 
A: 	die zo 
A: 	waar zitten jij 
A: 	nummer twee 
