A: 	deze hebben een hanekam gewoon een driehoekje best wel groot er op 
A: 	en dan een vierkan wat heel raar aflopen wat er in gaan zegmaar 
A: 	ja en dan een pun wat er in doorgaan en aan de onderkant zitten een rond wat ook een beetje verstopken zitten 
B: 	ja en er zitten zo'n ja soort isteken aan de een kant zeker 
B: 	ja 
B: 	dan zijn dat wachten 
B: 	dat zijn J 
A: 	ja 
A: 	ja en dan met dat rond schijf wat je half zien half niet 
A: 	zes 
B: 	dit zijn dat feestmuts met die blok en zo 
B: 	ja ja 
B: 	ja 
A: 	de hanenkam en dat blok en dat schuif en het punt 
B: 	papier hoedje 
B: 	ja 
B: 	ja 
B: 	E 
A: 	tien 
B: 	dit zijn het papieren hoedje 
A: 	met die hanenkam 
A: 	inhaal tien 
B: 	feesthoed ja 
B: 	ah 
B: 	G 
B: 	de feesthoed 
