A: 	ja 
A: 	en zitten boven twee stok 
A: 	oké 
A: 	nummer nummer drie 
B: 	deze hebben een vierkant plateau iets onder het midden 
B: 	denken dat dat al redelijk duidelijk zijn 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja kloppen 
B: 	ja 
A: 	de bak worden doorboren door een vierkant 
A: 	bovenop staan twee uitstulping 
A: 	een aan de linkerkant zitten nog een één een een L op de zijkant 
B: 	schoorsteen ja 
B: 	ja 
B: 	ja 
B: 	dat zijn M 
A: 	ja 
A: 	twaalf 
B: 	deze hebben zo'n vierkant rondom iets onder het midden zeggen maar 
B: 	ja 
A: 	de bak die die doorboren worden door de door het vierkant 
A: 	en bovenop staan twee gelijk stok 
B: 	vierkant 
B: 	ja dat zijn C 
A: 	ja 
A: 	nummer tien 
B: 	deze hebben het vierkant iets onder het midden 
B: 	en twee schoorsteen er bovenop 
B: 	ja 
A: 	de bak die doorboren worden door een plaat , bovenop twee gelijk stok 
A: 	met de L aan de linkerkant 
B: 	ja 
