B: 	okee 
B: 	link onderaan zitten een soort het zijn een soort van een één een pyramide alleen daarboven zijn net net het het kop afgescheurd 
B: 	en zijn een het worden steeds van klein naar groot groot naar klein gaan het naar boven 
B: 	de Linkeronderkant 
B: 	bovenop zitten eigenlijk een een langwerpig rechthoekig doos gewoon plat liggen hij erop dus niet omhoog maar gewoon plat 
B: 	en aan de 
B: 	ja zo'n soort van ministaafje dat ja 
A: 	plat rechthoek aan de bovenkant 
A: 	een rondachtig ding aan de onderkant zeggen je 
A: 	ja ja een kegel 
A: 	die zitten bovenop 
A: 	of zitten er 
A: 	aan de linkerkant 
A: 	ja ja 
A: 	sure 
A: 	dat zijn denken ik ja en dan aan de aan de linkerkant hebben je een soort van dat het schuin aflooppen 
A: 	ja ja oké 
A: 	dat zijn dertien 
B: 	liggen balk bovenop 
B: 	ja ja o 
B: 	hier hebben je aan rechthoekig plattig plat doos of een langwerpig plat doos bovenop 
B: 	zo'n soort van 
B: 	en dan heel klein ministaafje of nou heel dun staafje aan de rechterkant 
B: 	die op een waar staan het op 
A: 	oké nou ja dit zijn weer met zo'n ja zo'n rechthoekig balk erbovenop 
B: 	weten niet waar het op staat 
B: 	ja en die linker half die pyramide die voor kunnen het top worden afgeschoven aan de linkerkant 
A: 	en aan de rechterkant zo'n klein heel klein cilinder en een plaat die eruit steken 
B: 	en dan bovenop zo'n langwerpig 
B: 	ja een scherp ding 
A: 	en dan bovenop zitten er zo'n balk als het zijn 
A: 	bovenop die kop 
A: 	net klein dan het kop 
A: 	ja zijn die aflooppen 
A: 	ja ja 
B: 	die half ja ja 
B: 	ik zoeken hem 
B: 	waar zijn die half pyramide 
B: 	ja 
B: 	wachten scherp ding ? niet die twee 
B: 	wachten ik hebben hem verkeerd om 
B: 	kunnen je hem nog een keer zeggen scherp ding aan de rechterkant 
B: 	ja aan de ja sorry 
B: 	ja dan weten ik welk je bedoelen moeten hem even vinden nog 
B: 	ja ik zien hem 
B: 	h 
A: 	ja 
A: 	dat zijn even zoeken 
A: 	ja ja ja dat zijn vijf 
B: 	die dat scherp ding aan de rechterkant en dan die half pyramide hoofd eraf aan de linkerkant 
A: 	ja dit zijn weer met het balk aan de bovenkant en die aflopen dat aflopen ding aan de rechterkant 
A: 	of oplopen ja 
A: 	aan de linkerkant ja 
A: 	zeggen ik rechts 
B: 	ja 
B: 	ik weten denken ik welk je bedoelen 
B: 	waar zitten hij dan 
B: 	ah ja J 
A: 	ja 
A: 	tien zijn dat 
A: 	en dit zijn weer met dat schuinaflopen ding aan de linkerkant 
A: 	en dat balk erbovenop 
