A: 	ja 
B: 	deze 
B: 	een soort van omgekeerd kegel bovenop dus eigenlijk zo'n vorm 
A: 	ja 
B: 	en even kijken een bolle zitten ertegenaan plakken aan de voorkant iets veel naar de rechterzijde 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en bovenop hebben het trouwens nog een staafje dus het staafje en die omgekeerd kegel dan dat bolle aan de rechterkant 
B: 	en dan een soort van zo'n vorm tegen de mok aangeplakt aan de linkerkant 
B: 	een soort van opengeslagen boek zitten zo tegen de linkerkant 
B: 	hebben ver geen plateau 
B: 	ja zo ja niet helemaal het zijn een soort van 
B: 	de vorm bovenop zijn zo 
B: 	dus eindigen op zo'n rond 
B: 	ja 
B: 	en dan daar rechts van zijn gewoon ook aan de bovenzijde van de beker zijn een balkje 
B: 	en dan rechtsvoor aan de voorkant zitten een soort van bol gewoon tegenaan geplakt 
B: 	nee nee nee 
B: 	nee het zijn echt een soort van kegel eigenlijk alleen dan omgekeerd 
B: 	die eindigen op een soort van bolle maar nu zijn dat bolle daaronder 
B: 	misschien het hebben niet heel veel ding uitsteken vergelijken met de rest 
B: 	het hebben geen plateau 
B: 	misschien focussen op dat link uitsteeksel 
B: 	een beetje alsof je een boek hebben opengeslagen zo en dan ertegenaan zetten 
B: 	het zijn niet helemaal een een dicht balkje 
B: 	of trouwens misschien kunnen je het ook wel zien als één als een driehoek 
B: 	of ja één maar dan maar dan lang 
B: 	een balk in de vorm van een driehoek 
B: 	ja 
B: 	maar niet heel groot 
B: 	en het hebben twee ding bovenop 
B: 	nee 
B: 	nee 
B: 	hebben helemaal niks aan de onderzijde 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja nee nee het kloppen wel 
B: 	ja 
B: 	ja 
A: 	hier hebben je weer de Ronde hoofdvorm met een ei voorop 
A: 	en dan hebben je een kegel op zijn kop link bovenop de hoofdvorm 
A: 	rechts bovenop de hoofdvorm staan een staafje 
A: 	ja 
A: 	een kegeltje 
A: 	nummer elf 
B: 	ja 
B: 	ja dat zijn I 
A: 	dit zijn de hoofdvorm met een ei voorop links bovenop de hoofdvorm hebben je die omgedraaide kegel rechts staan er een vierkant 
A: 	ja 
A: 	ja 
A: 	nummer vijfteen 
A: 	deze hoofdvorm hebben een ei voorop en die kegel op zijn kop links op de hoofdvorm 
B: 	dit zijn met een ei aan de rechterkant 
B: 	opengeslagen boek aan de linkerkant 
B: 	een soort van kwastje en een balkje erin 
B: 	ja 
B: 	dat zijn e 
B: 	een mooi kwastje een staafje ei aan de rechterkant een opengeslagen boek aan de linkerkant 
B: 	ja 
B: 	dat zijn e 
