A: 	nu zijn het wel die een met die ja dat feestmuts op 
A: 	ja 
A: 	ja 
B: 	ja aan de linkerkant 
B: 	ja 
B: 	ja 
B: 	piramide alleen dan de bovenkant zijn eraf snijden 
B: 	denken ik 
B: 	ja 
B: 	oké ja dat zijn J 
A: 	met die met die wielet eronder 
A: 	met dat ronde 
A: 	ja precies 
A: 	ja precies en zo'n klein hendelt aan de 
A: 	ja oké 
A: 	dat zijn zes 
B: 	dit zijn weer dat feesthoed denken ik dat het zijn die piramide of kegel op het hoofd met link die pen wat jij zeggen volgens mij zeggen je dat die doorboorde 
B: 	aan de onderkant een rond en dan op de voorkant zo'n piramide maar dan doorsnijden 
A: 	dit zijn die met die feestmuts op en die raar ding aan de voorkant 
A: 	met dat rond aan de onderkant 
A: 	ja 
A: 	even kijken ja dat zijn nummer tien 
B: 	ja E 
A: 	het feesthoed 
B: 	dit zijn de piramide feesthoed bovenop en dan links de potlood erin steken 
A: 	nummer tien 
B: 	ja G 
B: 	dit zijn de feesthoed met potlood aan de zijkant erin 
