B: 	ja 
B: 	aan de zijkant 
B: 	ja 
A: 	even kijken horen dit figuur hebben vier uitsteeksel één rechts één links één linksonder en één boven 
B: 	ja oké dan zijn het E 
A: 	en die boven en linksonder zijn een soort van pionnet 
A: 	en ik kunnen hem misschien nog makkelijk omschrijven aan de rechterkant dat uitsteeksel zijn eigenlijk een toren op de kop 
A: 	dus met de bovenkant van de toren tegen de rechterkant aan 
A: 	ja 
A: 	linksonder 
A: 	ja 
B: 	oké deze hebben een dit zijn die plantje in een pot 
B: 	en dan ook één aan de zijkant en die toren aan de voorkant 
A: 	even kijken horen 
A: 	ja en de toren daarvan op de kop aan de rechterkant 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ja ja ja dat zijn J 
A: 	dit zijn aan de rechterkant streekt er een toren uit 
A: 	die ertegenaan zitten en bovenop en linksonder zitten dezelfde figuur 
A: 	oké 
B: 	ik hebben diegene met die plant in die pot en dan ook nog de zo'n zelfde vorm aan de zijkant 
B: 	en zo'n toren aan de voorkant 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	plant 
B: 	ja ja ja ja ja 
B: 	dat zijn B 
A: 	dit zijn degeen met de toren die er rechts tegenaan steken aan de rechterkant 
A: 	met een pionnetje erboven en linksonder 
A: 	ja 
B: 	oké ik hebben die plant in die pot met diezelfde uitsteeksel en dat toren 
A: 	ja 
A: 	nummer vier 
