B: 	het lijken op een vogel 
B: 	dat isteken 
B: 	aan de zijkant 
B: 	hij hebben een verrekijker aan de zijkant 
B: 	ja 
B: 	met zo één zo'n kijker eigenlijk een piratending 
B: 	ja 
B: 	dat zijn bij mij nummer E 
A: 	oké deze hebben 
A: 	ja twee kegel die er redelijk hetzelfde uitzien één aan de bovenkant erop en één aan de linkerkant 
A: 	en er zijn ook een ja een soort van kubus die zeggen maar 
A: 	die ja je hebben een groot kubus en dan een iets klein kubus die eraan zitten en nog iets klein dat zitten aan de rechterkant eraan 
A: 	en aan de linkerkant zien je boven die boven die kegel zien je ook nog een klein uitstulpink 
A: 	wat niet per se een duidelijk vorm hebben maar 
A: 	er zitten niet er zitten geen ruitvorm in 
A: 	ja in ieder geval zelfde vorm zelfde hoogte kunnen je niet echt zien want de een staan zeggen maar rechtop 
A: 	aan de bovenkant en de ander steken aan de linkerkant eruit naar links toe 
A: 	nee dat zullen ik niet zeggen 
A: 	ik zullen eerder zeggen het lijken heel erg als je zeggen maar een het roer hebben van een groot schip weten je wel ? een piratenschip of zo 
A: 	dan hebben je altijd van die uitsteeksel aan de zijkant 
A: 	daar lijken het op 
A: 	ja 
A: 	ja 
A: 	en die hebben ook aan de rechterkant een raar 
A: 	ja oké dan zijn dat de goed 
A: 	ja dus dan moeten jij inderdaad drukken als je 
B: 	dit zijn met die dat kop met die verrekijker 
B: 	met die een verrekijker 
B: 	maar één 
B: 	dat zijn J 
A: 	ja ja 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	ja precies dat zijn elf voor mij 
B: 	ik hebben die met die één verrekijker 
B: 	de piraat 
B: 	boven 
B: 	één 
B: 	ja B 
A: 	oké dit zijn die met met die kegel van het roer zeggen maar 
A: 	en de blokkentoren aan de rechterkant 
B: 	ik hebben dat met die een verrekijker 
A: 	even kijken waar staan die ? daar zo ja 
A: 	oké dat zijn negen 
A: 	dat kloppen 
A: 	oké dit zijn weer de de kegel van het roer en de blokkentoren aan de rechterkant 
A: 	ja 
A: 	waar staan die ? vier 
