B: 	ok ik hebben een plaa met een lepeltje rechts nou ik noemen het een lepeltje en dan links 
B: 	steken er iets uit een beetje zesvormig drievormig weten niet 
B: 	en aan de achterkant zitten nog een rond en de onderkant hebben een ja soort standaard nog 
B: 	ja 
B: 	ja 
B: 	moeten jij drukken 
B: 	op geel 
A: 	holy shit 
A: 	dat zijn er veel veel 
A: 	jij hebben er één 
B: 	ja 
A: 	ja 
A: 	omgekeerd kegelt 
A: 	ja 
A: 	denken dat ik het weten 
A: 	zijn het zitten hebben die onderop een soort sik ook 
A: 	of niet 
A: 	ja precies en aan de linkerkant steken er iets uit 
A: 	alleen een sprie op zijn hoofd 
A: 	echt 
A: 	wachten 
A: 	ja 
A: 	ja 
A: 	ja ja ja oké ja nee dan dan hebben ik hem 
A: 	ja 
A: 	ja 
A: 	check 
A: 	en een sprie zo en een cirkel achterop 
A: 	ja 
A: 	dertien 
A: 	en dan moeten ik drukken toch 
A: 	even kijken ja nu komen we weer bij de hij hebben zo'n één rond dinge achterop zitten en het 
A: 	wat jij zeggen zo'n soort pinokkio 
A: 	met die cilinder 
A: 	naar 
A: 	ja 
A: 	ja 
B: 	lepel 
B: 	ja dat zijn de O 
A: 	ja achten 
A: 	even kijken 
A: 	de Pinokkio met de pluk 
A: 	en het cirkelt 
A: 	achterop 
A: 	ja 
B: 	ok dit zijn de één die we hebben hebben met die standaard dat lepel dat rond achterop en dat uitsteeksel 
A: 	ja ja ja ja ja zeven 
A: 	Pippi Langkous met kuifje en cirkel 
A: 	of sorry Pippi Langkous Pinokkio 
A: 	hij staan bij mij rechtsbof 
A: 	nice 
A: 	volgen deel 
A: 	ja precies 
A: 	terwijl we daar plat liggen 
A: 	ja 
B: 	dat zijn voor mij C 
B: 	dit zijn de één die we hebben met die standaard een lepeltje een rond aan de achterkant en een 
B: 	ja dat zijn voor mij C 
B: 	hèhè 
B: 	dat zijn best lang 
