A: 	ja nou hebben ik het vierkant 
A: 	het zijn ook weer zo'n kopje er zitten een rond met zeggen maar een een stok erdoorheen 
A: 	soort van spies met een plat rond aan de achterkant 
A: 	en er zitten nog een klein dinge in 
A: 	het lijken op een lepel 
A: 	ja 
A: 	zitten aan 
A: 	ja zitten aan de achterkant van het stok zeggen maar 
A: 	soort van 
A: 	rechterkant ja inderdaad 
A: 	ja 
A: 	yes 
B: 	ja 
B: 	een bal ja 
B: 	ja 
B: 	ik hebben een vermoeden 
B: 	zitten er nog een schijf toch 
B: 	ja 
B: 	okee 
B: 	ik denken dat ik hem wel weten 
B: 	ik gaan voor a 
A: 	ja 
A: 	ja 
A: 	yes dat zijn nummer zestien 
A: 	dit zijn die dat rond met die met die stok erdoorheen met die plat ovaal aan de achterkant en de lepel erin 
B: 	ah we komen nu bij het kop met eineus met een staafje erdoorheen 
B: 	horizontaal en aan één uitein dus een schijf 
B: 	ja met het pluimp bovenop ja 
A: 	yes dat zijn dertien 
A: 	dit zijn die met die gespie bal met die lepel 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
A: 	ja yes dat zijn twee 
B: 	koffie nodig 
B: 	dit zijn de eineus met een horizontaal balk door zijn neus heen en aan het uitein een een schijf 
B: 	ja 
B: 	ja 
B: 	waar zijn je waar zijn je 
B: 	ah 
B: 	dat zijn voor mij nu i 
B: 	kop met eineus met daardoorheen ja dus die werkbank 
B: 	waar hebben je het over of springplank 
B: 	Springstok ja 
