B: 	rond plaat waar je in principe een taart op zullen kunnen zetten 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	L 
B: 	dit zijn die lastig die we net hebben met die rond Taarthouder aan de voorkant 
B: 	de Taarthouder oké 
A: 	ja deze hebben aan de rechterkant een soort muntje of een schijf met een stok die hem vastmaken aan de beker 
A: 	of aan het groot geheel en dan aan de linkerkant hebben het een soort heel uitgereken pacmanvorm met zo'n soort spijker erin 
A: 	het hebben zijn zeggen maar aan de linkerkant ja er er steken dan zo'n ding horizontaal uit en in dat uitgesteken ding 
A: 	steken weer iets zeggen maar zo schuin van boven naar achter daar in 
A: 	nee ? 
A: 	even kijken dus je hebben gewoon nou je hebben al bekervor 
A: 	en dan hebben je w rechtsonder hebben je een soort schijf dat horizontaal er half tegenaan afhangen 
A: 	en dat schijf worden worden zeggen maar vastgemaakt aan de kop met een 
A: 	heel klein 
A: 	ja ja ja dat plateau en dan links daarvan ja zijn toch dat zijn zeggen maar zo'n heel lang uitgerekt breed pacman en daarin 
A: 	nee ja precies ja en daarin opsteken dan die het lijken op een beetje op een spijker op zo'n naald of wat dan ook 
A: 	ok 
B: 	de Taarthouder 
B: 	C 
A: 	ja 
A: 	ja ja ja ok dat zijn zeven 
B: 	dit zijn de Taarthouder 
A: 	ja dit zijn die met dat raar rond plateautje dat er tegenaan zitten met die uitgereken pacman en die spijker erin 
A: 	ja 
B: 	ja 
B: 	A 
B: 	de Taarthouder 
A: 	ja dat zijn één 
A: 	dit zijn die met dat plateau en de uitgerekt pacman en een spijker in pacman 
A: 	ja 
A: 	dat zijn dertien 
