B: 	ja 
B: 	ja 
B: 	b 
A: 	okee nou de kopvorm met rechts naar de rechterkant uitstekend een balk eindigen in een ja iets van iets van een rond 
A: 	aan de linkerkant zitten zo'n zelfde balk alleen een stuk kort 
A: 	ook eindigen in een rond 
A: 	en bovenaan zitten nou ja een vierkant met nog een aanhangsel eraan 
A: 	aan het vierkant 
A: 	nou rechts een beetje aan de onderkant 
A: 	daar zitten een staaf met een een rond aan het uitein 
A: 	aan de linkerkant zitten eigenlijk zo'n zelfde staaf alleen een stuk kort 
A: 	dus het lijken een beetje die erdoorheen lopen 
A: 	ja 
A: 	ja dat zullen ik wel zeggen ja 
A: 	okee 
B: 	deze hebben die die stok door die emmer heen 
B: 	aan de een kant zijn hij wat kort en hij hebben een bobbel aan het eind en dan aan de ander kant zijn hij iets lang 
B: 	achterop zijn een schuin vierkant 
B: 	met daar ook een soort van ding eraan 
B: 	zo of hij liggen achter de emmer soort van een baseballbat 
B: 	maar dan niet echt 
B: 	achter de emmer zijn een 
B: 	ja 
B: 	ja 
B: 	ja die staaf lijken een beetje op een baseballbat 
B: 	ja 
B: 	where did it go ? l 
A: 	ja 
A: 	dat zijn vijf 
B: 	deze hebben de baseballbat 
B: 	ja I 
A: 	dit zijn die met het zonnepaneel aan de achterkant de met ja aan de onderkant de ding erdoorheen 
A: 	ja 
B: 	De baseballbat 
A: 	ja drie 
A: 	even kijken dit zijn die met het zonnepaneel erachter 
A: 	en de ding erdoorheen 
A: 	ja drie 
