A: 	ok ja deze doen mij een beetje denken aan iemand met een neuspiercing dus je hebben zeggen maar aan de voorkant hebben hij zo'n cirkel en daar zitten een soort balk doorheen 
A: 	ok bij mij één 
A: 	ja 
B: 	dan weten ik al welk je hebben 
B: 	de rond neus met iets erdoorheen 
B: 	ja 
B: 	ja hebben ik hem al 
B: 	de afbeelding zijn F 
A: 	o ja bij mij zijn dat vijf 
A: 	o ik moeten klikken toch 
A: 	jij hebben het vierkan toch 
A: 	dan moeten ik klikken 
A: 	maken niet uit 
A: 	dit zijn die neuspiercing 
A: 	ja vier 
A: 	ja 
A: 	ja Sorry 
B: 	neuspiercing 
A: 	o even zoeken waar hij zijn ja zijn vijf bij mij 
B: 	ja 
B: 	dan gaan het om A 
A: 	dit zijn de neuspiercing 
A: 	bij mij zes o 
A: 	ja 
B: 	de neuspiercing 
B: 	H zijn dat ja nummer H 
A: 	ja zijn vijftien bij mij 
B: 	dit zijn de neuspiercing 
