B: 	die van mij die vinden deze vinden ik eigenlijk nergens op lijken maar hij hebben een een bolle op de rechts voorkant 
B: 	en een kegeltje bovenop en een schoorsteen bovenop en een gevouwen blaad 
B: 	een gevouwen dinge naar de zijkant 
B: 	ja 
B: 	in een driehoekje 
B: 	ja zo zullen je het kunnen zien ja 
A: 	ja 
A: 	ja 
A: 	en de ding die erin hangen één zijn een beetje staafachtig en de ander een beetje een penseel kwastachtig ding 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	waar het konijntje waar zijn het konijntje 
B: 	ja met dat bolle voor en die die gevouw het gevouwen stuk ook 
B: 	kegel 
B: 	ja ja ja bij mij zijn dat N 
A: 	dan hebben ik de koffiebeker met de ei zonder iets erdoorheen aan de voorkant 
A: 	en link steken een een driehoek iets uit 
A: 	met de staaf en de penseel Erbovenin 
B: 	dit zijn dat konijntje met dat bollet voorop 
B: 	en die twee kegel boven 
B: 	ja dat zijn G 
B: 	het konijntje met het bollet aan de voorkant 
B: 	en het gevouwen blaad aan de links kant ja 
B: 	waar zijn je ? waar zijn je ? waar zijn je 
B: 	ja dat zijn J 
A: 	dat ei hebben een staaf erdoorheen 
A: 	oké die twee aan de bovenkant en de driehoek link 
A: 	oké 
A: 	het eit 
A: 	dat zijn nummer negen 
A: 	ei aan de voorkant 
A: 	twee ding erin om te roeren 
A: 	en nog een driehoekje aan de zijkant 
A: 	ja hebbes 
A: 	nummer vijf 
A: 	ei aan de voorkant iets rechts 
A: 	driehoekig aanhangsel en twee ding van bovenaf erin 
A: 	nee 
A: 	niks door het ei heen 
A: 	en twee ding aan de bovenkant erin een staaf en penseel 
A: 	ja 
A: 	we hebben ze allemaal even vaak hebben als het goed zijn 
