B: 	oké deze hebben drie bollet uitsteeksel aan allebei de kant 
B: 	en er zitten een vlak onder 
B: 	ja 
A: 	jij weer 
A: 	ja met die diamant zeggen maar of zo 
A: 	ja 
A: 	oké dan hebben ik dat 
A: 	nummer vijf 
B: 	ja 
B: 	oké 
B: 	dat zijn J 
B: 	oké ik hebben die die met die drie boll aan de zijkant aan allebei de kant 
B: 	ja 
A: 	ik moeten drukken 
A: 	ja diamantenoren 
A: 	en dan zo'n zo'n bord of zo als een neus 
B: 	oké 
B: 	ja 
B: 	dat zijn P 
B: 	dat zijn staan ze op dezelfde plek 
B: 	oké ik hebben die met die drie gelijk kra aan de buitenkant 
B: 	ja 
A: 	ja 
A: 	elf 
B: 	ja 
B: 	oké 
B: 	dat zijn L 
A: 	ja dat dat rond en dan die diamant 
A: 	ja 
A: 	negen 
A: 	de diamantenoren en dan dat rond zeggen maar 
