A: 	en ook een soort bolle rechts 
A: 	ja 
A: 	ja ja ja ja dat zijn zes nummer zes 
B: 	ja deze die die die vinden ik ook wel grappig 
B: 	ik beseffen me dat ik daarstraks hebben ik de hebben ik deze en een ander halen ik een beetje door elkaar 
B: 	maar ik hebben bij deze moeten ik weer denken een beetje aan een eineus 
B: 	alleen dan deze keer zeggen maar dan hebben die geen verticaal lat erdoorheen 
B: 	nee die hebben gewoon gewoon alleen de neus zeggen maar aan de rechterkant 
B: 	eineus 
B: 	en bovenin het kop twee ding erin zitten 
B: 	een lat die gewoon een latvorm zijn en ja iets wat je misschien als één van soort van pen zullen kunnen beschouwen 
B: 	beetje diagonaal staan die erin 
B: 	ook een heel goed ja ja 
B: 	ja hebben je bee een idee welk dat zijn 
A: 	deze hebben het bollet aan de rechts in het midden van het beker 
A: 	links in het midden zitten nog een stok 
A: 	dan hebben je inderdaad ook nog een stok aan de bovenkant of een balkje en een soort van ja kegel wat je net ook noemen 
A: 	ja 
A: 	ook nog ja 
A: 	dat zijn nummer vier 
B: 	ja 
B: 	doorheen 
B: 	ja ja ja 
B: 	alright dan gaan ik voor j 
A: 	dit zijn het rond zitten rechts in het midden van het beker met het kegel bovenaan balkje bovenaan 
A: 	en link zitten ook nog een soort driehoek in 
A: 	dus het rond in het midden rechts 
A: 	kegel aan de bovenkant 
A: 	ja ja ja ja ja ja 
A: 	ja 
A: 	ja die we net ook hebben 
A: 	drie 
B: 	het zijn het eineuskopje 
B: 	zonder een horizontaal stang erdoorheen 
B: 	maar met twee object bovenin 
A: 	het weer het rond midden rechts 
B: 	en aan de linkerkant een uitsteeksel 
A: 	met dat kegeltje en het bovenaan 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij e 
B: 	we hebben ons welbeken kop met een eineus 
B: 	een la bovenin een omgekeerd stropdas 
B: 	ja waar zijn je 
B: 	ja dat zijn j 
