B: 	ja ja ja dan weten ik al welk het zijn 
B: 	met twee van die toren aan de zijkant 
B: 	ja oké dan zijn het M 
A: 	deze hebben onder het kop een soort uitstulpsel en dat hebben die aan de rechterkant ook het zijn een soort van twee van die grijparmen 
A: 	en dan komen er nog een balk uit een beetje zo'n Pinokkioneusidee 
A: 	en dan erbovenop zitten nog een een kantelen vierkant waar ook twee van die kubus die zeggen maar steeds groot worden 
A: 	die komen eruit 
B: 	en deze hebben die ruit aan de bovenkant met twee van die torent aan de zijkant 
B: 	en een dinge beneden eruit aan de zijkant eruit en aan de voorkant eruit 
A: 	ja en dan nog drie armding 
A: 	ja oké 
A: 	negen 
B: 	ja ja ja 
B: 	dat 
B: 	ja dat zijn h 
B: 	ik hebben diegene met de ruit zeggen maar boven en met twee van die torent die erin gaan 
A: 	dit zijn die met met die vierkanut aan de bovenkant en dan twee van die groot worden kubus die eruit steken 
A: 	en dan nog drie arm aan de rechterkant die eruit steken aan de onderkant en de zijkant en de voorkant 
A: 	ja ja ja ja ja 
B: 	oké 
B: 	ja zoeken ja dat zijn bij mij D 
B: 	ik hebben diegene met die ruit en die twee torent erin 
B: 	die erboven zitten en twee uitsteeksel 
A: 	elf 
A: 	dit zijn met dat kantelen vierkant aan de bovenkant waar die twee kubus uit komen die steeds groot worden 
A: 	en dan drie arm 
A: 	veertien 
