A: 	spijker op het hoofd 
A: 	ja welk 
A: 	ja 
A: 	B twee 
B: 	deze hebben één hebben een vierkant plaat zeggen maar aan de voorkant 
B: 	en een op zijn hoofd lijken het een schroef 
B: 	twee Empire State Buildings 
B: 	ja 
B: 	ja dat ook 
A: 	spijker op het hoofd verrekijker 
A: 	dertien 
A: 	ja ja ja ja 
A: 	B negen 
B: 	even kijken een vierkant 
B: 	die en dan zitten hierboven zo'n ding en aan de zijkant ook 
B: 	ja 
B: 	F 
B: 	dit zijn die met die met zo'n vierkant plaat 
B: 	boven weer een schroef en dan die die die uitpuilen blokkending 
A: 	verrekijker 
A: 	spijker op het hoofd 
A: 	zeven 
B: 	ja 
B: 	ja 
B: 	ja ik zien het ja 
B: 	D 
A: 	ik weten welk je bedoelen 
A: 	welk 
A: 	P één 
B: 	die met die vierkant plaat en weer die die blok zeggen maar als oog 
B: 	ja 
A: 	jou verrekijker 
A: 	negen 
B: 	ja 
B: 	B 
