B: 	ja en aan de een kant zitten een hoekje en aan de ander kant niet 
B: 	ja dan zijn dat D 
A: 	oké 
A: 	bekervormp 
A: 	er zitten een bal op de bovenkant 
A: 	je zien 
A: 	ja kloppen 
B: 	dit zijn het kop met die verticaal balk voor het kop 
B: 	en weer zo'n citroen op het kop 
B: 	en aan de linker en de rechterkant steken zo'n buis uit waarvan één buigen zijn aan één kant 
B: 	ja ja 
A: 	er zitten een bal op en er zitten een balk voor 
A: 	oké ja 
A: 	dat zijn vijftien 
B: 	ja dat zijn L 
B: 	bij deze zitten weer zo'n citroen of ei erop 
B: 	en die verticaal balk er eigenlijk tegenaan geplakt 
B: 	en twee van die armp aan de zijkant 
A: 	er zitten een bal op 
A: 	en een balkje ervoor 
B: 	ja ja dat zijn J 
A: 	waar de bal op liggen 
A: 	ja 
A: 	en zo'n balkje ervoor 
A: 	oké 
A: 	dat zijn zes 
B: 	bij deze zit weer dat ei erop 
B: 	en die balk aan de voorkant en de armp aan de zijkant 
A: 	er zitten een bal op met een staaf dun balk balk ervoor 
A: 	ja oké er zijn maar één bal 
A: 	dat zijn drie de balk toch ervoor 
A: 	oké 
