A: 	dit zijn ook de emmer daar zitten een ovaal bol bovenop en een recht stok aan de voorkant ervoor 
A: 	en nog een rechts aan de rechterkant een 
A: 	en aan de linkerkant 
A: 	ja ja 
B: 	ja je mogen het nummer niet zeggen nee 
B: 	een balk aan de voorkant 
B: 	okee staan die 
B: 	die die balk staan die recht naar of rechtop 
B: 	okee 
B: 	ja ja okee dat zijn l 
A: 	ja 
A: 	ja twaalf 
B: 	eens even kijken hoor nou deze dit zijn het kop met de balk die recht naar beneden staan en het bijna heel ei aan de bovenkant met de twee fiets fietshandvaten 
A: 	dit zijn emmer met een rond bol bovenop en een rechthoekig staaf aan de voorkant verticaal 
A: 	ja 
A: 	tien 
A: 	dit zijn het rond bovenop die er half in zitten met dat vierkant ding ervoor 
B: 	ja eens even kijken hoor ah daar dat zijn b 
A: 	ja negen 
B: 	deze hebben de de staaf aan de voorkant het eit bovenop en de fiets fietshendel 
B: 	ja eens even kijken dat zijn c 
B: 	dit zijn de balk aan de voorkant ei aan de bovenkant en de fiets handvaten 
