A: 	ik vinden het lijken op een gieter 
A: 	maar dan een heel lelijk gieter je hebben gewoon dat bakkie en aan de een kant of ja aan beide kant steken een soort zeshoekig staafje uit en aan de een kant zijn die vrij kort aan de ander kant lang 
A: 	en dan aan beide uiteinde zitten een bolle 
A: 	en dan bovenop zitten er nog een soort kleppie waar dan ook weer zo'n soort vierkant stok uit steken 
A: 	naar beneden 
B: 	ja dat zijn bij mij arm 
B: 	denken ik even kijken 
B: 	ja ja ja K en bij jou 
B: 	tien K 
B: 	dit dit deze dit zijn mijn armpjes 
B: 	dus die zeshoekig armpjes 
B: 	met die met dat gek ding 
B: 	ja met dat paneel erachter 
B: 	B 
A: 	ja 
A: 	nummer negen 
B: 	ja 
B: 	F 
B: 	F zeven 
A: 	dit zijn wat ik dus vinden lijken op die gieter met dus die twee zeshoekig dinget en één zijn iets lang en dan die twee bollet aan de uiteinde daarvan 
A: 	en dan een klepje erop 
A: 	aan de zijkant 
B: 	dit zijn met die plat achterkant die ik armp noemen 
B: 	K 
A: 	yes 
A: 	nummer drie 
B: 	even kijken 
B: 	L veertien 
A: 	zeggen maar dat gieterdinge 
A: 	met die twee staaf waar de bollet aan zitten 
B: 	dit zijn mijn arm 
B: 	met die plaat 
B: 	ja M 
A: 	nummer vijf 
