B: 	ja ja ja 
B: 	en dan hebben die 
B: 	ja en een fliebel aan de achterkant 
B: 	yes 
B: 	J 
A: 	hun hebben eigenlijk de enig vorm met een soort piramide bovenop 
A: 	en dan ja dan hebben hij onderom nog iets en nog aan de zijkant een dikk blok en aan linkerkant hebben hij zo'n klein 
A: 	spijker ja ja 
A: 	ja o daar staan hij 
A: 	ja dus die dat raar plateau 
A: 	ja 
A: 	ja 
A: 	dat zijn dan numero zeven 
B: 	dit zijn met de driehoekpunt bovenop het kop met die heel groot neus 
B: 	met het rond wiele link onderin 
B: 	puntmuts 
B: 	de puntmuts 
B: 	ja E 
A: 	ja dit zijn met die piramide weer bovenop met zo'n heel dik neus achtig blok en dan spijker spijker aan de zijkant ja 
B: 	dit zijn de puntmuts 
B: 	ja met de groot neus 
A: 	ja 
A: 	dat zijn dan nummertje tien 
B: 	ja G 
A: 	dit zijn die met die piramide bovenop en met dat spijker aan de zijkant en een koek erbij 
B: 	de puntmuts 
B: 	met de groot neus 
A: 	ja 
A: 	dat zijn dan nummertje tien 
