A: 	ja deze hebben een soort van nou ja Ronde Buis en die lijken gewoon al door de zijkant van die van het kop als we het over kop hebben doorheen steken 
A: 	ja zoiets 
A: 	en ja aan de het ja 
A: 	zitten ook zo'n vierkant met iets eronder 
A: 	ja die ja 
A: 	ja 
B: 	ja ja 
B: 	ja een soort van zonne-energiepaneeltje aan de achterkant ja 
B: 	ik weten het anders ook niet ja 
B: 	okee ja ik denken ik hem wel weten 
B: 	ik gaan voor c 
A: 	ja ik weten welk je bedoelen ik moeten hem alleen even 
A: 	ja nummer vier 
A: 	dit zijn weer de stuur van het fiets 
A: 	met de balk dwars door het dinge of het rond 
B: 	ah ja 
B: 	ja hier dit zijn het kop waar zelf niks op zitten zeggen maar 
B: 	maar waar aan de achterkant een soort van rond staaf liggen met uiteinde bollet 
B: 	en een een een zonne-energiepaneeltje weten je nog 
B: 	ja 
A: 	ja ik weten hem al alleen ik moeten hem nog even zien te vinden 
A: 	dat zijn nummer tien 
A: 	het fietsstuur 
B: 	ja 
B: 	alright dan gaan ik voor a 
A: 	ja ik weten het al 
A: 	even kijken 
A: 	waar zijn die 
A: 	nummer vijfteen 
B: 	kop met aan de achterkant een hoe heten het een soort pen met met bollet aan de aan beide kant en een zonnepaneel 
B: 	ik gaan voor b ja 
B: 	nou ja 
B: 	zonne-energiedakje 
