B: 	dit vinden ik een soort van tafel die erdoorheen zijn steken 
B: 	ding en er zitten een bak bovenop 
B: 	ja 
A: 	ja ja ja ja ja 
A: 	ja dat moeten wel nummer zestien zijn 
B: 	met een bak erop P 
A: 	ik hebben die weer met dat veld er dwars doorheen bijna helemaal bovenin 
A: 	twee ding eronder twee ding erboven 
A: 	ja ja 
B: 	dit zijn de tafel die erdoorheen steken de groot tafel met een bak erbovenop 
B: 	oké 
B: 	N 
A: 	ja dat zijn veertien 
B: 	dit zijn de groot tafel met een bakje erop 
A: 	ik hebben die hoog horizontaal 
A: 	met twee dinget eronder en twee dinget erboven 
B: 	ja 
B: 	D 
A: 	we zijn nu op twee drie 
A: 	als ik het goed hebben bijhouden 
A: 	vierkant door het figuur ja ja ja nou 
A: 	ja nummer tien 
A: 	ik hebben die hoog horizontaal twee eronder twee erboven 
