B: 	hier zitten bovenop de emmer liggen soort van een klein rechthoek 
B: 	en dan aan de linkerkant komen er een soort tui op zijn kop uit 
B: 	die een beetje rond zijn 
B: 	en aan de rechterkant zijn ook een tui 
B: 	wat lijken op een driehoek 
B: 	en daarbovenop een staafje 
B: 	dat zijn een beetje niet niet heel bijzonder hij zijn nogal compact 
B: 	het zijn de emmer hebben erbovenop liggen er soort van een vierhoekig staafje 
B: 	aan de linkerkant komen er een ja soort van tui uit maar dan op zijn kop 
B: 	wat een beetje rond vorming onderaan hebben 
B: 	en aan de rechterkant zitten er een driehoekig tui met daarop een staafje 
A: 	beetje rond eindigen 
A: 	nee ik zullen deze niet zomaar zien 
A: 	okeeen ik denken dat ik weten welk je bedoelen 
A: 	er zitten ja 
A: 	aan de rechterkant een beetje een een balk met een dinge er erop staan 
A: 	ja volgens mij weten ik hem 
A: 	dat zijn vier 
B: 	ja h 
B: 	deze hebben die omgedraaide trechter aan de linkerkant soort van de neus 
B: 	en bovenop een rechthoekig staafje 
B: 	ja p 
A: 	dit zijn de kopvorm met de ja eigenlijk een balk die erbovenop liggen 
A: 	aan de linkerkant 
A: 	jij beschrijven het als een een beetje een 
A: 	ja een hoeven zo'n glijbaanvormpje naar beneden 
A: 	ja 
A: 	die 
B: 	deze hebben de omgedraai trechter neusachtig iets aan de linkerkant en die staaf bovenop 
B: 	f 
A: 	ja met het blok erbovenop en 
A: 	ja dat zijn zes 
A: 	even kijken dit zijn die met het hoefijzer 
A: 	aan de linkerkant 
A: 	en de balk bovenop 
A: 	yes 
A: 	ja 
A: 	dertien 
A: 	dit zijn die met het hoefijzer aan de linkerkant 
A: 	en de balk aan de bovenkant 
