B: 	er zitten zeggen maar weer een balonne in soort van balonne met een 
B: 	pilaar er langs boven en aan de voorkant zitten een bol en link zitten nog een soort van goo 
B: 	ja soort van ja driehoekje inderdaad 
A: 	een soort kegelachtig iets bedoelen je 
A: 	ja 
A: 	ja dat zijn veertien 
B: 	de voorkant zo'n bolle zegmaar die echt dan ja ok dat zijn N 
A: 	ja dit zijn het kop met het bollet aan de voorkant 
A: 	en Bovenin een vierkant staafje en een kegelstaaf en links dan nog dat driehoekig staafje 
B: 	zegmaar met dat bollet vooraan links dat soort van goo dat driehoekje en dan links ballonne eruit en een blok eruit boven 
B: 	G 
B: 	die met dat bollet vooraan gleufje link ballonnetje er uit en blok er uit aan de bovenkant 
A: 	ja dat zijn negen 
B: 	J 
A: 	dit zijn die met dat bollet rechtsvoor en boven die twee staaf die vierkant en de kegel 
A: 	en links dat driehoekig staafje 
A: 	ja 
A: 	driehoek ja 
A: 	dat zijn vijf 
A: 	dit zijn de met het bollet 
A: 	aan de rechtervoorkant en die twee staafjes boven de één één kegel de ander recht 
